Results: 	[0.701]	
Results: 	[0.701, 0.7917]	
Results: 	[0.701, 0.7917, 0.5941]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947, 0.7866]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947, 0.7866, 0.7148]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947, 0.7866, 0.7148, 0.6683]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947, 0.7866, 0.7148, 0.6683, 0.8445]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947, 0.7866, 0.7148, 0.6683, 0.8445, 0.7225]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947, 0.7866, 0.7148, 0.6683, 0.8445, 0.7225, 0.7208]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947, 0.7866, 0.7148, 0.6683, 0.8445, 0.7225, 0.7208, 0.7096]	
Results: 	[0.701, 0.7917, 0.5941, 0.7374, 0.8127, 0.8109, 0.7721, 0.777, 0.7752, 0.7398, 0.7713, 0.7655, 0.8211, 0.8047, 0.7283, 0.8353, 0.79, 0.7947, 0.7866, 0.7148, 0.6683, 0.8445, 0.7225, 0.7208, 0.7096, 0.7762]	
