Results: 	[0.7541]	
Results: 	[0.7541, 0.7594]	
Results: 	[0.7541, 0.7594, 0.7498]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404, 0.7964]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404, 0.7964, 0.8386]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404, 0.7964, 0.8386, 0.8753]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404, 0.7964, 0.8386, 0.8753, 0.7723]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404, 0.7964, 0.8386, 0.8753, 0.7723, 0.711]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404, 0.7964, 0.8386, 0.8753, 0.7723, 0.711, 0.6829]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404, 0.7964, 0.8386, 0.8753, 0.7723, 0.711, 0.6829, 0.5724]	
Results: 	[0.7541, 0.7594, 0.7498, 0.8716, 0.8113, 0.6716, 0.8817, 0.6904, 0.6651, 0.7367, 0.6335, 0.7478, 0.7861, 0.8091, 0.7623, 0.7042, 0.7249, 0.808, 0.7773, 0.5987, 0.6868, 0.7404, 0.7964, 0.8386, 0.8753, 0.7723, 0.711, 0.6829, 0.5724, 0.516]
30 Support Sets: (Mean:0.7378566666666667, SD:0.0870027850657403) | 	




