Results: 	[0.7593]	
Results: 	[0.7593, 0.7655]	
Results: 	[0.7593, 0.7655, 0.7721]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767, 0.7762]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767, 0.7762, 0.7725]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767, 0.7762, 0.7725, 0.7814]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767, 0.7762, 0.7725, 0.7814, 0.7799]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767, 0.7762, 0.7725, 0.7814, 0.7799, 0.7708]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767, 0.7762, 0.7725, 0.7814, 0.7799, 0.7708, 0.776]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767, 0.7762, 0.7725, 0.7814, 0.7799, 0.7708, 0.776, 0.7807]	
Results: 	[0.7593, 0.7655, 0.7721, 0.7627, 0.7806, 0.7708, 0.78, 0.7681, 0.7759, 0.7748, 0.7838, 0.7747, 0.7726, 0.7774, 0.7794, 0.7816, 0.7759, 0.7691, 0.7641, 0.7758, 0.7711, 0.7767, 0.7762, 0.7725, 0.7814, 0.7799, 0.7708, 0.776, 0.7807, 0.7658]
30 Support Sets: (Mean:0.7738433333333333, SD:0.00619324901270192) | 	
















































