Results: 	[0.7733]	
Results: 	[0.7733, 0.7864]	
Results: 	[0.7733, 0.7864, 0.7824]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997, 0.7566]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997, 0.7566, 0.7688]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997, 0.7566, 0.7688, 0.7537]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997, 0.7566, 0.7688, 0.7537, 0.7784]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997, 0.7566, 0.7688, 0.7537, 0.7784, 0.7718]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997, 0.7566, 0.7688, 0.7537, 0.7784, 0.7718, 0.7697]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997, 0.7566, 0.7688, 0.7537, 0.7784, 0.7718, 0.7697, 0.7593]	
Results: 	[0.7733, 0.7864, 0.7824, 0.765, 0.7785, 0.7636, 0.7846, 0.7401, 0.7773, 0.7723, 0.7482, 0.7997, 0.7566, 0.7688, 0.7537, 0.7784, 0.7718, 0.7697, 0.7593, 0.7873]	
