Results: 	[0.8634]	
Results: 	[0.8634, 0.8686]	
Results: 	[0.8634, 0.8686, 0.8713]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721, 0.8609]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721, 0.8609, 0.8689]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721, 0.8609, 0.8689, 0.8689]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721, 0.8609, 0.8689, 0.8689, 0.8727]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721, 0.8609, 0.8689, 0.8689, 0.8727, 0.8596]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721, 0.8609, 0.8689, 0.8689, 0.8727, 0.8596, 0.8633]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721, 0.8609, 0.8689, 0.8689, 0.8727, 0.8596, 0.8633, 0.8653]	
Results: 	[0.8634, 0.8686, 0.8713, 0.8681, 0.8673, 0.8697, 0.8522, 0.8653, 0.8633, 0.8608, 0.8721, 0.8609, 0.8689, 0.8689, 0.8727, 0.8596, 0.8633, 0.8653, 0.8658]	
