[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6179757836782361],[0.39602248162559445],[0.5746549560853199],[0.3021108179419525],[0.9338407494145199],[0.7896084337349397],[0.6179757836782362]]	 ; [[0.6179757836782361],[0.39602248162559445],[0.5746549560853199],[0.3021108179419525],[0.9338407494145199],[0.7896084337349397],[0.6179757836782362]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5374139764450954],[0.15185403178340198],[0.712707182320442],[0.08498023715415019],[0.9898477157360406],[0.7829819277108434],[0.5374139764450954]]	 ; [[0.6179757836782361],[0.39602248162559445],[0.712707182320442],[0.3021108179419525],[0.9898477157360406],[0.7896084337349397],[0.6179757836782362]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5862699795606438],[0.3095723014256619],[0.6816143497757847],[0.2002635046113307],[0.972276454509957],[0.7957831325301205],[0.5862699795606439]]	 ; [[0.6179757836782361],[0.39602248162559445],[0.712707182320442],[0.3021108179419525],[0.9898477157360406],[0.7957831325301205],[0.6179757836782362]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6368008172329193],[0.4341821320673284],[0.62875],[0.3315754779169413],[0.9420261565488971],[0.8025602409638555],[0.6368008172329191]]	 ; [[0.6368008172329193],[0.4341821320673284],[0.712707182320442],[0.3315754779169413],[0.9898477157360406],[0.8025602409638555],[0.6368008172329191]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7673228987083393],[0.6241007194244604],[0.5719780219780219],[0.6866754617414248],[0.8479703356752537],[0.811144578313253],[0.7673228987083393]]	 ; [[0.7673228987083393],[0.6241007194244604],[0.712707182320442],[0.6866754617414248],[0.9898477157360406],[0.811144578313253],[0.7673228987083393]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7953728522254967],[0.6367666232073012],[0.5267471958584987],[0.8048780487804879],[0.7858676556705055],[0.790210843373494],[0.7953728522254967]]	 ; [[0.7953728522254967],[0.6367666232073012],[0.712707182320442],[0.8048780487804879],[0.9898477157360406],[0.811144578313253],[0.7953728522254967]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7889727795929518],[0.6246825799898426],[0.5082644628099173],[0.8102766798418972],[0.7676688793440063],[0.7774096385542169],[0.7889727795929518]]	 ; [[0.7953728522254967],[0.6367666232073012],[0.712707182320442],[0.8102766798418972],[0.9898477157360406],[0.811144578313253],[0.7953728522254967]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7532131665876975],[0.5796019900497512],[0.4656274980015987],[0.7674571805006588],[0.7389691526747364],[0.7454819277108434],[0.7532131665876975]]	 ; [[0.7953728522254967],[0.6367666232073012],[0.712707182320442],[0.8102766798418972],[0.9898477157360406],[0.811144578313253],[0.7953728522254967]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7031953206906708],[0.5221799746514576],[0.42404281597365173],[0.679419525065963],[0.7269711163153786],[0.7161144578313253],[0.7031953206906708]]	 ; [[0.7953728522254967],[0.6367666232073012],[0.712707182320442],[0.8102766798418972],[0.9898477157360406],[0.811144578313253],[0.7953728522254967]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8120511061814751],[0.6879518072289157],[0.6330376940133038],[0.7532981530343008],[0.8708040593286495],[0.8439759036144578],[0.8120511061814751]]	 ; [[0.8120511061814751],[0.6879518072289157],[0.712707182320442],[0.8102766798418972],[0.9898477157360406],[0.8439759036144578],[0.8120511061814751]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7803903592912641],[0.6687158469945356],[0.6943262411347517],[0.644927536231884],[0.9158531823506443],[0.8539156626506024],[0.7803903592912642]]	 ; [[0.8120511061814751],[0.6879518072289157],[0.712707182320442],[0.8102766798418972],[0.9898477157360406],[0.8539156626506024],[0.8120511061814751]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8311989314087155],[0.660332541567696],[0.5159613956941351],[0.91688654353562],[0.7455113192818111],[0.7846385542168675],[0.8311989314087156]]	 ; [[0.8311989314087155],[0.6879518072289157],[0.712707182320442],[0.91688654353562],[0.9898477157360406],[0.8539156626506024],[0.8311989314087156]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7726011022744635],[0.5848849945235487],[0.4381358713488677],[0.8794466403162056],[0.6657555642327216],[0.7146084337349398],[0.7726011022744637]]	 ; [[0.8311989314087155],[0.6879518072289157],[0.712707182320442],[0.91688654353562],[0.9898477157360406],[0.8539156626506024],[0.8311989314087156]]
