[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.75472702799437],[0.6294627383015599],[0.6618075801749271],[0.6001321877065433],[0.9093218682821966],[0.838763197586727],[0.75472702799437]]	 ; [[0.75472702799437],[0.6294627383015599],[0.6618075801749271],[0.6001321877065433],[0.9093218682821966],[0.838763197586727],[0.75472702799437]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6855104455485463],[0.5302521008403361],[0.7269585253456221],[0.4173280423280423],[0.9536928487690504],[0.8313725490196079],[0.6855104455485463]]	 ; [[0.75472702799437],[0.6294627383015599],[0.7269585253456221],[0.6001321877065433],[0.9536928487690504],[0.838763197586727],[0.75472702799437]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7139519513057379],[0.5801282051282051],[0.7365208545269583],[0.47851949768671515],[0.9493844049247606],[0.8419306184012066],[0.7139519513057379]]	 ; [[0.75472702799437],[0.6294627383015599],[0.7365208545269583],[0.6001321877065433],[0.9536928487690504],[0.8419306184012066],[0.75472702799437]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6429977133242721],[0.44541484716157204],[0.8345454545454546],[0.30377233620119126],[0.982223090447353],[0.8276018099547511],[0.6429977133242721]]	 ; [[0.75472702799437],[0.6294627383015599],[0.8345454545454546],[0.6001321877065433],[0.982223090447353],[0.8419306184012066],[0.75472702799437]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7299319518766482],[0.6043998456194519],[0.7263450834879406],[0.5175148711169861],[0.9423490326363103],[0.8453996983408748],[0.7299319518766483]]	 ; [[0.75472702799437],[0.6294627383015599],[0.8345454545454546],[0.6001321877065433],[0.982223090447353],[0.8453996983408748],[0.75472702799437]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5976096500896143],[0.33350812794965917],[0.803030303030303],[0.21045665122435472],[0.984762648954874],[0.8082956259426848],[0.5976096500896143]]	 ; [[0.75472702799437],[0.6294627383015599],[0.8345454545454546],[0.6001321877065433],[0.984762648954874],[0.8453996983408748],[0.75472702799437]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7280205000735596],[0.5977358490566038],[0.6965699208443272],[0.5234633179114342],[0.9325776822356849],[0.8392156862745098],[0.7280205000735596]]	 ; [[0.75472702799437],[0.6294627383015599],[0.8345454545454546],[0.6001321877065433],[0.984762648954874],[0.8453996983408748],[0.75472702799437]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7547463201771526],[0.6305865921787709],[0.6678994082840237],[0.5972222222222222],[0.9122704181320829],[0.840422322775264],[0.7547463201771525]]	 ; [[0.7547463201771526],[0.6305865921787709],[0.8345454545454546],[0.6001321877065433],[0.984762648954874],[0.8453996983408748],[0.7547463201771525]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.761005281449096],[0.6119799350840955],[0.5521831735889244],[0.686300463269358],[0.8357100996288338],[0.801659125188537],[0.761005281449096]]	 ; [[0.761005281449096],[0.6305865921787709],[0.8345454545454546],[0.686300463269358],[0.984762648954874],[0.8453996983408748],[0.761005281449096]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7816125143551018],[0.6211442130239916],[0.5166666666666667],[0.7785855915399867],[0.7846394371702169],[0.7832579185520362],[0.7816125143551018]]	 ; [[0.7816125143551018],[0.6305865921787709],[0.8345454545454546],[0.7785855915399867],[0.984762648954874],[0.8453996983408748],[0.7816125143551018]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8074945159668256],[0.6882188374261735],[0.6496478873239436],[0.7316589557171183],[0.8833300762165331],[0.8487179487179487],[0.8074945159668256]]	 ; [[0.8074945159668256],[0.6882188374261735],[0.8345454545454546],[0.7785855915399867],[0.984762648954874],[0.8487179487179487],[0.8074945159668256]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.784068526809731],[0.6361581920903955],[0.5555007400098668],[0.744216787838731],[0.8239202657807309],[0.8057315233785822],[0.7840685268097309]]	 ; [[0.8074945159668256],[0.6882188374261735],[0.8345454545454546],[0.7785855915399867],[0.984762648954874],[0.8487179487179487],[0.8074945159668256]]
