Results: 	[0.9354]	
Results: 	[0.9354, 0.8875]	
Results: 	[0.9354, 0.8875, 0.9488]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295, 0.8461]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295, 0.8461, 0.9303]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295, 0.8461, 0.9303, 0.742]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295, 0.8461, 0.9303, 0.742, 0.8537]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295, 0.8461, 0.9303, 0.742, 0.8537, 0.681]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295, 0.8461, 0.9303, 0.742, 0.8537, 0.681, 0.823]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295, 0.8461, 0.9303, 0.742, 0.8537, 0.681, 0.823, 0.8754]	
Results: 	[0.9354, 0.8875, 0.9488, 0.8624, 0.9307, 0.7062, 0.856, 0.9233, 0.7566, 0.9189, 0.864, 0.8927, 0.8362, 0.8521, 0.8545, 0.9383, 0.8985, 0.9073, 0.8467, 0.9082, 0.8382, 0.8295, 0.8461, 0.9303, 0.742, 0.8537, 0.681, 0.823, 0.8754, 0.8419]
30 Support Sets: (Mean:0.8595133333333334, SD:0.06688546429033242) | 	






