Results: 	[0.7401]	
Results: 	[0.7401, 0.8033]	
Results: 	[0.7401, 0.8033, 0.8148]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654, 0.7838]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654, 0.7838, 0.7515]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654, 0.7838, 0.7515, 0.7948]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654, 0.7838, 0.7515, 0.7948, 0.7907]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654, 0.7838, 0.7515, 0.7948, 0.7907, 0.7811]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654, 0.7838, 0.7515, 0.7948, 0.7907, 0.7811, 0.786]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654, 0.7838, 0.7515, 0.7948, 0.7907, 0.7811, 0.786, 0.6735]	
Results: 	[0.7401, 0.8033, 0.8148, 0.7837, 0.7632, 0.7291, 0.7397, 0.7543, 0.7603, 0.7859, 0.7529, 0.7971, 0.7272, 0.7881, 0.7689, 0.7332, 0.7846, 0.7354, 0.8012, 0.7772, 0.7366, 0.7654, 0.7838, 0.7515, 0.7948, 0.7907, 0.7811, 0.786, 0.6735, 0.8196]
30 Support Sets: (Mean:0.76744, SD:0.0316627879052214) | 	













































































