Results: 	[0.9009]	
Results: 	[0.9009, 0.8851]	
Results: 	[0.9009, 0.8851, 0.8996]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052, 0.92]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052, 0.92, 0.9096]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052, 0.92, 0.9096, 0.9021]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052, 0.92, 0.9096, 0.9021, 0.8892]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052, 0.92, 0.9096, 0.9021, 0.8892, 0.9043]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052, 0.92, 0.9096, 0.9021, 0.8892, 0.9043, 0.9178]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052, 0.92, 0.9096, 0.9021, 0.8892, 0.9043, 0.9178, 0.9051]	
Results: 	[0.9009, 0.8851, 0.8996, 0.9128, 0.8923, 0.9064, 0.9016, 0.8957, 0.8856, 0.8904, 0.8809, 0.897, 0.9031, 0.9096, 0.8941, 0.8955, 0.9134, 0.9063, 0.9092, 0.8683, 0.8896, 0.9052, 0.92, 0.9096, 0.9021, 0.8892, 0.9043, 0.9178, 0.9051, 0.9162]
30 Support Sets: (Mean:0.90023, SD:0.011770306004869877) | 	


