[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.3046590480974507],[0.1797037037037037],[1.0],[0.0],[0.1797037037037037],[0.5]]	 ; [[0.5],[0.3046590480974507],[0.1797037037037037],[1.0],[0],[0.1797037037037037],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.30444611906556146],[0.17955555555555555],[1.0],[0.0],[0.17955555555555555],[0.5]]	 ; [[0.5],[0.3046590480974507],[0.1797037037037037],[1.0],[0],[0.1797037037037037],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.304871923656454],[0.17985185185185185],[1.0],[0.0],[0.17985185185185185],[0.5]]	 ; [[0.5],[0.304871923656454],[0.17985185185185185],[1.0],[0],[0.17985185185185185],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.3046590480974507],[0.1797037037037037],[1.0],[0.0],[0.1797037037037037],[0.5]]	 ; [[0.5],[0.304871923656454],[0.17985185185185185],[1.0],[0],[0.17985185185185185],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5013550135501355],[0.30566037735849055],[0.18040089086859687],[1.0],[0.0027100271002710027],[0.18222222222222223],[0.5013550135501355]]	 ; [[0.5013550135501355],[0.30566037735849055],[0.18040089086859687],[1.0],[0.0027100271002710027],[0.18222222222222223],[0.5013550135501355]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5720476706392199],[0.33835845896147404],[0.20362903225806453],[1.0],[0.14409534127843987],[0.29777777777777775],[0.5720476706392199]]	 ; [[0.5720476706392199],[0.33835845896147404],[0.20362903225806453],[1.0],[0.14409534127843987],[0.29777777777777775],[0.5720476706392199]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7186478104800784],[0.43800904977375554],[0.28061224489795916],[0.9975267930750206],[0.4397688278851364],[0.54],[0.7186478104800784]]	 ; [[0.7186478104800784],[0.43800904977375554],[0.28061224489795916],[1.0],[0.4397688278851364],[0.54],[0.7186478104800784]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8152489679652608],[0.5488565488565489],[0.3813804173354735],[0.9785831960461285],[0.6519147398843931],[0.7106666666666667],[0.8152489679652608]]	 ; [[0.8152489679652608],[0.5488565488565489],[0.3813804173354735],[1.0],[0.6519147398843931],[0.7106666666666667],[0.8152489679652608]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8531787741284246],[0.611039129308111],[0.4457466918714556],[0.971169686985173],[0.7351878612716763],[0.7776296296296297],[0.8531787741284247]]	 ; [[0.8531787741284246],[0.611039129308111],[0.4457466918714556],[1.0],[0.7351878612716763],[0.7776296296296297],[0.8531787741284247]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8737529580234451],[0.6585227272727273],[0.502601908065915],[0.9546952224052718],[0.7928106936416185],[0.821925925925926],[0.8737529580234451]]	 ; [[0.8737529580234451],[0.6585227272727273],[0.502601908065915],[1.0],[0.7928106936416185],[0.821925925925926],[0.8737529580234451]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.878766420050661],[0.6751329001772002],[0.5255172413793103],[0.9438480594549958],[0.8136847806463261],[0.837037037037037],[0.878766420050661]]	 ; [[0.878766420050661],[0.6751329001772002],[0.5255172413793103],[1.0],[0.8136847806463261],[0.837037037037037],[0.878766420050661]]
