Results: 	[0.73]	
Results: 	[0.73, 0.9056]	
Results: 	[0.73, 0.9056, 0.8338]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679, 0.873]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679, 0.873, 0.9173]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679, 0.873, 0.9173, 0.887]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679, 0.873, 0.9173, 0.887, 0.8906]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679, 0.873, 0.9173, 0.887, 0.8906, 0.7803]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679, 0.873, 0.9173, 0.887, 0.8906, 0.7803, 0.8553]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679, 0.873, 0.9173, 0.887, 0.8906, 0.7803, 0.8553, 0.9484]	
Results: 	[0.73, 0.9056, 0.8338, 0.9406, 0.9076, 0.8793, 0.8894, 0.9522, 0.6878, 0.8535, 0.8603, 0.9011, 0.8326, 0.8699, 0.9004, 0.9173, 0.8521, 0.9284, 0.8598, 0.8701, 0.8369, 0.8679, 0.873, 0.9173, 0.887, 0.8906, 0.7803, 0.8553, 0.9484, 0.9399]
