Results: 	[0.9637]	
Results: 	[0.9637, 0.9634]	
Results: 	[0.9637, 0.9634, 0.9663]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632, 0.9605]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632, 0.9605, 0.9631]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632, 0.9605, 0.9631, 0.9612]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632, 0.9605, 0.9631, 0.9612, 0.9627]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632, 0.9605, 0.9631, 0.9612, 0.9627, 0.9616]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632, 0.9605, 0.9631, 0.9612, 0.9627, 0.9616, 0.9619]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632, 0.9605, 0.9631, 0.9612, 0.9627, 0.9616, 0.9619, 0.9652]	
Results: 	[0.9637, 0.9634, 0.9663, 0.9647, 0.9644, 0.9618, 0.9658, 0.9658, 0.9622, 0.9655, 0.9639, 0.9649, 0.9664, 0.965, 0.9635, 0.9636, 0.9632, 0.9605, 0.9631, 0.9612, 0.9627, 0.9616, 0.9619, 0.9652, 0.9658]	
