[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0.0],[0.11030405405405405],[0.5]]	 ; [[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0],[0.11030405405405405],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0.0],[0.11030405405405405],[0.5]]	 ; [[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0],[0.11030405405405405],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0.0],[0.11030405405405405],[0.5]]	 ; [[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0],[0.11030405405405405],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0.0],[0.11030405405405405],[0.5]]	 ; [[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0],[0.11030405405405405],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0.0],[0.11030405405405405],[0.5]]	 ; [[0.5],[0.19869161722196865],[0.11030405405405405],[1.0],[0],[0.11030405405405405],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5001898614011772],[0.19875209252777357],[0.11034133153092261],[1.0],[0.00037972280235428136],[0.11064189189189189],[0.5001898614011772]]	 ; [[0.5001898614011772],[0.19875209252777357],[0.11034133153092261],[1.0],[0.00037972280235428136],[0.11064189189189189],[0.5001898614011772]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5224860736807613],[0.2060778727445394],[0.11491615180935569],[0.996937212863706],[0.048034934497816595],[0.1527027027027027],[0.5224860736807613]]	 ; [[0.5224860736807613],[0.2060778727445394],[0.11491615180935569],[1.0],[0.048034934497816595],[0.1527027027027027],[0.5224860736807613]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.639321924397946],[0.25717192268565614],[0.14828718911309244],[0.9678407350689127],[0.31080311372697933],[0.38327702702702704],[0.639321924397946]]	 ; [[0.639321924397946],[0.25717192268565614],[0.14828718911309244],[1.0],[0.31080311372697933],[0.38327702702702704],[0.639321924397946]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7168611171119204],[0.3270254287403903],[0.2026383290582631],[0.8468606431852986],[0.5868615910385419],[0.6155405405405405],[0.7168611171119202]]	 ; [[0.7168611171119204],[0.3270254287403903],[0.2026383290582631],[1.0],[0.5868615910385419],[0.6155405405405405],[0.7168611171119202]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7696773315663333],[0.4165651644336175],[0.28342541436464086],[0.7856049004594181],[0.7537497626732486],[0.7572635135135135],[0.7696773315663333]]	 ; [[0.7696773315663333],[0.4165651644336175],[0.28342541436464086],[1.0],[0.7537497626732486],[0.7572635135135135],[0.7696773315663333]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7722029534060351],[0.4256926952141058],[0.2932330827067669],[0.776416539050536],[0.767989367761534],[0.768918918918919],[0.7722029534060351]]	 ; [[0.7722029534060351],[0.4256926952141058],[0.2932330827067669],[1.0],[0.767989367761534],[0.768918918918919],[0.7722029534060351]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7687502671288857],[0.45028680688336525],[0.3273106323835997],[0.7212863705972435],[0.8162141636605278],[0.8057432432432432],[0.7687502671288857]]	 ; [[0.7722029534060351],[0.45028680688336525],[0.3273106323835997],[1.0],[0.8162141636605278],[0.8057432432432432],[0.7722029534060351]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.775643864205776],[0.4920721705850191],[0.3826530612244898],[0.6891271056661562],[0.8621606227453958],[0.8430743243243243],[0.775643864205776]]	 ; [[0.775643864205776],[0.4920721705850191],[0.3826530612244898],[1.0],[0.8621606227453958],[0.8430743243243243],[0.775643864205776]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7768342050578728],[0.5054192812321733],[0.4027272727272727],[0.678407350689127],[0.8752610594266186],[0.8535472972972973],[0.7768342050578728]]	 ; [[0.7768342050578728],[0.5054192812321733],[0.4027272727272727],[1.0],[0.8752610594266186],[0.8535472972972973],[0.7768342050578728]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7819979699658453],[0.5122646891043925],[0.4081818181818182],[0.6875957120980092],[0.8764002278336814],[0.8555743243243243],[0.7819979699658453]]	 ; [[0.7819979699658453],[0.5122646891043925],[0.4081818181818182],[1.0],[0.8764002278336814],[0.8555743243243243],[0.7819979699658453]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7826437313318705],[0.5189063408958697],[0.41838649155722324],[0.6830015313935681],[0.8822859312701727],[0.8603040540540541],[0.7826437313318704]]	 ; [[0.7826437313318705],[0.5189063408958697],[0.41838649155722324],[1.0],[0.8822859312701727],[0.8603040540540541],[0.7826437313318704]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7854791499907976],[0.5314183123877918],[0.4361493123772102],[0.6799387442572741],[0.8910195557243212],[0.8677364864864865],[0.7854791499907976]]	 ; [[0.7854791499907976],[0.5314183123877918],[0.4361493123772102],[1.0],[0.8910195557243212],[0.8677364864864865],[0.7854791499907976]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7842513020625113],[0.5256940342587123],[0.42788461538461536],[0.6814701378254211],[0.8870324662996013],[0.8643581081081081],[0.7842513020625113]]	 ; [[0.7854791499907976],[0.5314183123877918],[0.4361493123772102],[1.0],[0.8910195557243212],[0.8677364864864865],[0.7854791499907976]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7855615783326564],[0.5351089588377724],[0.44244244244244246],[0.6768759571209801],[0.8942471995443326],[0.8702702702702703],[0.7855615783326564]]	 ; [[0.7855615783326564],[0.5351089588377724],[0.44244244244244246],[1.0],[0.8942471995443326],[0.8702702702702703],[0.7855615783326564]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7903006991726055],[0.5274725274725275],[0.42379182156133827],[0.6983154670750383],[0.8822859312701727],[0.8619932432432432],[0.7903006991726056]]	 ; [[0.7903006991726055],[0.5351089588377724],[0.44244244244244246],[1.0],[0.8942471995443326],[0.8702702702702703],[0.7903006991726056]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7890490095369737],[0.5547815072830906],[0.47300215982721383],[0.6707503828483921],[0.9073476362255554],[0.88125],[0.7890490095369738]]	 ; [[0.7903006991726055],[0.5547815072830906],[0.47300215982721383],[1.0],[0.9073476362255554],[0.88125],[0.7903006991726056]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7897260267998236],[0.5534591194968553],[0.4695837780149413],[0.6738131699846861],[0.905638883614961],[0.8800675675675675],[0.7897260267998236]]	 ; [[0.7903006991726055],[0.5547815072830906],[0.47300215982721383],[1.0],[0.9073476362255554],[0.88125],[0.7903006991726056]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7871117254388982],[0.5318262938726948],[0.4348249027237354],[0.6845329249617151],[0.8896905259160812],[0.8670608108108108],[0.7871117254388982]]	 ; [[0.7903006991726055],[0.5547815072830906],[0.47300215982721383],[1.0],[0.9073476362255554],[0.88125],[0.7903006991726056]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7875352064968072],[0.5218390804597701],[0.41766329346826125],[0.6952526799387443],[0.87981773305487],[0.8594594594594595],[0.7875352064968071]]	 ; [[0.7903006991726055],[0.5547815072830906],[0.47300215982721383],[1.0],[0.9073476362255554],[0.88125],[0.7903006991726056]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7938393028219568],[0.5590452261306532],[0.4739084132055378],[0.6814701378254211],[0.9062084678184925],[0.8814189189189189],[0.7938393028219568]]	 ; [[0.7938393028219568],[0.5590452261306532],[0.4739084132055378],[1.0],[0.9073476362255554],[0.8814189189189189],[0.7938393028219568]]
