Results: 	[0.8346]	
Results: 	[0.8346, 0.8744]	
Results: 	[0.8346, 0.8744, 0.804]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856, 0.8882]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856, 0.8882, 0.8622]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856, 0.8882, 0.8622, 0.7504]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856, 0.8882, 0.8622, 0.7504, 0.8193]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856, 0.8882, 0.8622, 0.7504, 0.8193, 0.9403]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856, 0.8882, 0.8622, 0.7504, 0.8193, 0.9403, 0.8469]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856, 0.8882, 0.8622, 0.7504, 0.8193, 0.9403, 0.8469, 0.804]	
Results: 	[0.8346, 0.8744, 0.804, 0.9296, 0.8469, 0.8254, 0.5773, 0.7917, 0.9265, 0.6064, 0.7259, 0.8775, 0.7764, 0.7397, 0.8116, 0.8331, 0.8775, 0.7274, 0.7902, 0.807, 0.8346, 0.856, 0.8882, 0.8622, 0.7504, 0.8193, 0.9403, 0.8469, 0.804, 0.83]
30 Support Sets: (Mean:0.8138333333333333, SD:0.08173800168550872) | 	












































