Results: 	[0.7465]	
Results: 	[0.7465, 0.7465]	
Results: 	[0.7465, 0.7465, 0.7898]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749, 0.8458]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749, 0.8458, 0.8633]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749, 0.8458, 0.8633, 0.8143]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749, 0.8458, 0.8633, 0.8143, 0.7118]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749, 0.8458, 0.8633, 0.8143, 0.7118, 0.6499]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749, 0.8458, 0.8633, 0.8143, 0.7118, 0.6499, 0.7494]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749, 0.8458, 0.8633, 0.8143, 0.7118, 0.6499, 0.7494, 0.8174]	
Results: 	[0.7465, 0.7465, 0.7898, 0.6719, 0.8272, 0.8324, 0.9394, 0.7365, 0.7101, 0.9138, 0.8686, 0.7604, 0.8065, 0.8126, 0.8149, 0.6837, 0.749, 0.8458, 0.8633, 0.8143, 0.7118, 0.6499, 0.7494, 0.8174, 0.8221]	
