Results: 	[0.7383]	
Results: 	[0.7383, 0.7114]	
Results: 	[0.7383, 0.7114, 0.7298]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419, 0.7526]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419, 0.7526, 0.7369]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419, 0.7526, 0.7369, 0.7383]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419, 0.7526, 0.7369, 0.7383, 0.7218]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419, 0.7526, 0.7369, 0.7383, 0.7218, 0.7367]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419, 0.7526, 0.7369, 0.7383, 0.7218, 0.7367, 0.7511]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419, 0.7526, 0.7369, 0.7383, 0.7218, 0.7367, 0.7511, 0.7564]	
Results: 	[0.7383, 0.7114, 0.7298, 0.7194, 0.7476, 0.7061, 0.745, 0.7585, 0.7717, 0.7744, 0.7617, 0.7571, 0.7546, 0.7472, 0.7402, 0.7311, 0.7645, 0.7748, 0.7492, 0.7545, 0.7445, 0.7419, 0.7526, 0.7369, 0.7383, 0.7218, 0.7367, 0.7511, 0.7564, 0.741]
30 Support Sets: (Mean:0.7452766666666667, SD:0.01704008829775839) | 	











