Results: 	[0.8153]	
Results: 	[0.8153, 0.7804]	
Results: 	[0.8153, 0.7804, 0.7759]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089, 0.8329]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089, 0.8329, 0.8093]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089, 0.8329, 0.8093, 0.7706]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089, 0.8329, 0.8093, 0.7706, 0.7906]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089, 0.8329, 0.8093, 0.7706, 0.7906, 0.8206]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089, 0.8329, 0.8093, 0.7706, 0.7906, 0.8206, 0.8499]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089, 0.8329, 0.8093, 0.7706, 0.7906, 0.8206, 0.8499, 0.8268]	
Results: 	[0.8153, 0.7804, 0.7759, 0.8353, 0.8351, 0.8209, 0.8473, 0.8296, 0.8001, 0.8032, 0.8404, 0.8059, 0.8425, 0.7808, 0.8089, 0.8329, 0.8093, 0.7706, 0.7906, 0.8206, 0.8499, 0.8268, 0.8339]	
