Results: 	[0.8121]	
Results: 	[0.8121, 0.7324]	
Results: 	[0.8121, 0.7324, 0.7965]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149, 0.7995]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149, 0.7995, 0.7974]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149, 0.7995, 0.7974, 0.8113]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149, 0.7995, 0.7974, 0.8113, 0.8391]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149, 0.7995, 0.7974, 0.8113, 0.8391, 0.8406]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149, 0.7995, 0.7974, 0.8113, 0.8391, 0.8406, 0.8009]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149, 0.7995, 0.7974, 0.8113, 0.8391, 0.8406, 0.8009, 0.6887]	
Results: 	[0.8121, 0.7324, 0.7965, 0.8029, 0.8361, 0.8473, 0.8543, 0.8187, 0.811, 0.7615, 0.7722, 0.7984, 0.8148, 0.8624, 0.8119, 0.8168, 0.7537, 0.8047, 0.7904, 0.8055, 0.7859, 0.7149, 0.7995, 0.7974, 0.8113, 0.8391, 0.8406, 0.8009, 0.6887, 0.8039]
30 Support Sets: (Mean:0.7995266666666666, SD:0.03892020070591242) | 	










