Results: 	[0.8561]	
Results: 	[0.8561, 0.8563]	
Results: 	[0.8561, 0.8563, 0.8447]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586, 0.8521]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586, 0.8521, 0.8582]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586, 0.8521, 0.8582, 0.846]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586, 0.8521, 0.8582, 0.846, 0.8449]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586, 0.8521, 0.8582, 0.846, 0.8449, 0.8417]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586, 0.8521, 0.8582, 0.846, 0.8449, 0.8417, 0.8479]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586, 0.8521, 0.8582, 0.846, 0.8449, 0.8417, 0.8479, 0.8641]	
Results: 	[0.8561, 0.8563, 0.8447, 0.8565, 0.8376, 0.832, 0.865, 0.8625, 0.8547, 0.8601, 0.8565, 0.8594, 0.8505, 0.8692, 0.857, 0.8619, 0.8557, 0.8571, 0.842, 0.8685, 0.8362, 0.8586, 0.8521, 0.8582, 0.846, 0.8449, 0.8417, 0.8479, 0.8641, 0.858]
30 Support Sets: (Mean:0.8537, SD:0.009492428925019758) | 	
