Results: 	[0.9201]	
Results: 	[0.9201, 0.9197]	
Results: 	[0.9201, 0.9197, 0.9182]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203, 0.9177]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203, 0.9177, 0.92]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203, 0.9177, 0.92, 0.9187]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203, 0.9177, 0.92, 0.9187, 0.918]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203, 0.9177, 0.92, 0.9187, 0.918, 0.918]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203, 0.9177, 0.92, 0.9187, 0.918, 0.918, 0.9193]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203, 0.9177, 0.92, 0.9187, 0.918, 0.918, 0.9193, 0.919]	
Results: 	[0.9201, 0.9197, 0.9182, 0.9192, 0.917, 0.9161, 0.9195, 0.9194, 0.9198, 0.92, 0.9192, 0.9205, 0.9197, 0.9186, 0.9199, 0.919, 0.9196, 0.9197, 0.9179, 0.9184, 0.9173, 0.9203, 0.9177, 0.92, 0.9187, 0.918, 0.918, 0.9193, 0.919, 0.9191]
30 Support Sets: (Mean:0.9189633333333334, SD:0.0010574801973635619) | 	
