[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6641156972489926],[0.5027760641579272],[0.6037037037037037],[0.4307610993657505],[0.8974702951322345],[0.7732770745428973],[0.6641156972489926]]	 ; [[0.6641156972489926],[0.5027760641579272],[0.6037037037037037],[0.4307610993657505],[0.8974702951322345],[0.7732770745428973],[0.6641156972489926]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.611231953701284],[0.37941869599371564],[0.7374045801526717],[0.2554204124801692],[0.9670434949223989],[0.7777777777777778],[0.611231953701284]]	 ; [[0.6641156972489926],[0.5027760641579272],[0.7374045801526717],[0.4307610993657505],[0.9670434949223989],[0.7777777777777778],[0.6641156972489926]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5620988502601045],[0.23847517730496454],[0.7430939226519337],[0.1420274551214361],[0.982170245398773],[0.7583684950773558],[0.5620988502601045]]	 ; [[0.6641156972489926],[0.5027760641579272],[0.7430939226519337],[0.4307610993657505],[0.982170245398773],[0.7777777777777778],[0.6641156972489926]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.600651942030548],[0.3454317897371715],[0.8181818181818182],[0.21893178212585934],[0.9823721019352366],[0.7793248945147679],[0.600651942030548]]	 ; [[0.6641156972489926],[0.5027760641579272],[0.8181818181818182],[0.4307610993657505],[0.9823721019352366],[0.7793248945147679],[0.6641156972489926]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6158821382959314],[0.383258104226508],[0.8537477148080439],[0.24708994708994708],[0.9846743295019157],[0.7886075949367088],[0.6158821382959314]]	 ; [[0.6641156972489926],[0.5027760641579272],[0.8537477148080439],[0.4307610993657505],[0.9846743295019157],[0.7886075949367088],[0.6641156972489926]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6197418308381003],[0.3921408104789194],[0.8724954462659381],[0.2529039070749736],[0.986579754601227],[0.7911392405063291],[0.6197418308381003]]	 ; [[0.6641156972489926],[0.5027760641579272],[0.8724954462659381],[0.4307610993657505],[0.986579754601227],[0.7911392405063291],[0.6641156972489926]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.638948858829494],[0.43898573692551507],[0.8779714738510301],[0.29265715795034336],[0.9852405597086448],[0.8008438818565401],[0.638948858829494]]	 ; [[0.6641156972489926],[0.5027760641579272],[0.8779714738510301],[0.4307610993657505],[0.986579754601227],[0.8008438818565401],[0.6641156972489926]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6653151786172659],[0.49848024316109424],[0.8876860622462788],[0.34653988378235606],[0.9840904734521756],[0.8143459915611815],[0.6653151786172659]]	 ; [[0.6653151786172659],[0.5027760641579272],[0.8876860622462788],[0.4307610993657505],[0.986579754601227],[0.8143459915611815],[0.6653151786172659]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6639922452715386],[0.49540581929555894],[0.8998609179415855],[0.34178552562070785],[0.9861989649223691],[0.8146272855133615],[0.6639922452715386]]	 ; [[0.6653151786172659],[0.5027760641579272],[0.8998609179415855],[0.4307610993657505],[0.986579754601227],[0.8146272855133615],[0.6653151786172659]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6711729069505525],[0.5109599395313681],[0.895364238410596],[0.3574828133262824],[0.9848630005748228],[0.8180028129395218],[0.6711729069505525]]	 ; [[0.6711729069505525],[0.5109599395313681],[0.8998609179415855],[0.4307610993657505],[0.986579754601227],[0.8180028129395218],[0.6711729069505525]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7124545910236394],[0.5934298834334157],[0.8964781216648879],[0.44350580781414994],[0.9814033742331288],[0.8381153305203938],[0.7124545910236394]]	 ; [[0.7124545910236394],[0.5934298834334157],[0.8998609179415855],[0.44350580781414994],[0.986579754601227],[0.8381153305203938],[0.7124545910236394]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7150231460175149],[0.5981703026038001],[0.8956796628029505],[0.44902271526677234],[0.9810235767682576],[0.8393811533052039],[0.7150231460175149]]	 ; [[0.7150231460175149],[0.5981703026038001],[0.8998609179415855],[0.44902271526677234],[0.986579754601227],[0.8393811533052039],[0.7150231460175149]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7102899001101787],[0.5896613190730838],[0.9067982456140351],[0.4368726888536714],[0.9837071113666859],[0.8381153305203938],[0.7102899001101787]]	 ; [[0.7150231460175149],[0.5981703026038001],[0.9067982456140351],[0.44902271526677234],[0.986579754601227],[0.8393811533052039],[0.7150231460175149]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6993690121995568],[0.5686274509803921],[0.9073001158748552],[0.4140666314119513],[0.9846713929871623],[0.8329113924050633],[0.6993690121995568]]	 ; [[0.7150231460175149],[0.5981703026038001],[0.9073001158748552],[0.44902271526677234],[0.986579754601227],[0.8393811533052039],[0.7150231460175149]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7126619230067506],[0.5940946282461758],[0.9066232356134636],[0.4417989417989418],[0.9835249042145594],[0.839521800281294],[0.7126619230067506]]	 ; [[0.7150231460175149],[0.5981703026038001],[0.9073001158748552],[0.44902271526677234],[0.986579754601227],[0.839521800281294],[0.7150231460175149]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6938125948095318],[0.5577630610743193],[0.9165659008464329],[0.4008461131676362],[0.9867790764514275],[0.8309423347398031],[0.6938125948095318]]	 ; [[0.7150231460175149],[0.5981703026038001],[0.9165659008464329],[0.44902271526677234],[0.9867790764514275],[0.839521800281294],[0.7150231460175149]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.734918976457784],[0.6340963443799111],[0.8983543078412392],[0.48996832101372756],[0.9798696319018405],[0.8493670886075949],[0.734918976457784]]	 ; [[0.734918976457784],[0.6340963443799111],[0.9165659008464329],[0.48996832101372756],[0.9867790764514275],[0.8493670886075949],[0.734918976457784]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7323551044879442],[0.6297315898141775],[0.9014778325123153],[0.4838709677419355],[0.9808392412339528],[0.8486638537271448],[0.7323551044879442]]	 ; [[0.734918976457784],[0.6340963443799111],[0.9165659008464329],[0.48996832101372756],[0.9867790764514275],[0.8493670886075949],[0.734918976457784]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7279889560126941],[0.6220990647731209],[0.903420523138833],[0.47437929212889596],[0.9815986198964922],[0.8465541490857946],[0.7279889560126941]]	 ; [[0.734918976457784],[0.6340963443799111],[0.9165659008464329],[0.48996832101372756],[0.9867790764514275],[0.8493670886075949],[0.734918976457784]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6919073835036051],[0.5539594843462247],[0.9159561510353228],[0.39704329461457233],[0.9867714723926381],[0.8296765119549929],[0.6919073835036051]]	 ; [[0.734918976457784],[0.6340963443799111],[0.9165659008464329],[0.48996832101372756],[0.9867790764514275],[0.8493670886075949],[0.734918976457784]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6750104058019836],[0.5189681335356601],[0.921832884097035],[0.3611404435058078],[0.9888803680981595],[0.8216596343178622],[0.6750104058019837]]	 ; [[0.734918976457784],[0.6340963443799111],[0.921832884097035],[0.48996832101372756],[0.9888803680981595],[0.8493670886075949],[0.734918976457784]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7289815219232174],[0.623789764868603],[0.902],[0.47674418604651164],[0.9812188577999233],[0.8469760900140647],[0.7289815219232175]]	 ; [[0.734918976457784],[0.6340963443799111],[0.921832884097035],[0.48996832101372756],[0.9888803680981595],[0.8493670886075949],[0.734918976457784]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7325282425764604],[0.6300240467193404],[0.9007858546168959],[0.4844162704701532],[0.9806402146827679],[0.8485232067510549],[0.7325282425764605]]	 ; [[0.734918976457784],[0.6340963443799111],[0.921832884097035],[0.48996832101372756],[0.9888803680981595],[0.8493670886075949],[0.734918976457784]]
