[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6273732774217085],[0.4170834936514044],[0.7633802816901408],[0.2869242985706723],[0.9678222562727447],[0.7869198312236287],[0.6273732774217085]]	 ; [[0.6273732774217085],[0.4170834936514044],[0.7633802816901408],[0.2869242985706723],[0.9678222562727447],[0.7869198312236287],[0.6273732774217085]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5453388282985987],[0.17362428842504743],[0.8551401869158879],[0.0966209081309398],[0.9940567484662577],[0.7549929676511955],[0.5453388282985987]]	 ; [[0.6273732774217085],[0.4170834936514044],[0.8551401869158879],[0.2869242985706723],[0.9940567484662577],[0.7869198312236287],[0.6273732774217085]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5259247546912339],[0.10094952523738131],[0.926605504587156],[0.05338266384778013],[0.9984668455346877],[0.7469760900140647],[0.5259247546912339]]	 ; [[0.6273732774217085],[0.4170834936514044],[0.926605504587156],[0.2869242985706723],[0.9984668455346877],[0.7869198312236287],[0.6273732774217085]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5723576191088078],[0.26086956521739124],[0.8609467455621301],[0.1537242472266244],[0.990990990990991],[0.7680731364275668],[0.5723576191088077]]	 ; [[0.6273732774217085],[0.4170834936514044],[0.926605504587156],[0.2869242985706723],[0.9984668455346877],[0.7869198312236287],[0.6273732774217085]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5430556327646391],[0.1612747464992757],[0.9382022471910112],[0.08821975699947174],[0.9978915085298063],[0.7556962025316456],[0.5430556327646391]]	 ; [[0.6273732774217085],[0.4170834936514044],[0.9382022471910112],[0.2869242985706723],[0.9984668455346877],[0.7869198312236287],[0.6273732774217085]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5553606924153422],[0.20551144325081738],[0.8835341365461847],[0.11627906976744186],[0.9944423150632427],[0.760759493670886],[0.5553606924153422]]	 ; [[0.6273732774217085],[0.4170834936514044],[0.9382022471910112],[0.2869242985706723],[0.9984668455346877],[0.7869198312236287],[0.6273732774217085]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.601367527287209],[0.344331641285956],[0.8641188959660298],[0.2150026413100898],[0.9877324132643281],[0.7819971870604782],[0.601367527287209]]	 ; [[0.6273732774217085],[0.4170834936514044],[0.9382022471910112],[0.2869242985706723],[0.9984668455346877],[0.7869198312236287],[0.6273732774217085]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6070014391555658],[0.35991649269311066],[0.856858846918489],[0.22780126849894292],[0.9862016098121886],[0.7843881856540085],[0.6070014391555658]]	 ; [[0.6273732774217085],[0.4170834936514044],[0.9382022471910112],[0.2869242985706723],[0.9984668455346877],[0.7869198312236287],[0.6273732774217085]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7642369841911679],[0.6575939031028851],[0.6778900112233446],[0.638477801268499],[0.8899961671138367],[0.8230661040787624],[0.7642369841911678]]	 ; [[0.7642369841911679],[0.6575939031028851],[0.9382022471910112],[0.638477801268499],[0.9984668455346877],[0.8230661040787624],[0.7642369841911678]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7629912933552697],[0.6635757751376412],[0.7339743589743589],[0.6054997355896351],[0.9204828511209043],[0.8367088607594937],[0.7629912933552697]]	 ; [[0.7642369841911679],[0.6635757751376412],[0.9382022471910112],[0.638477801268499],[0.9984668455346877],[0.8367088607594937],[0.7642369841911678]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.803602881267435],[0.7132568684982663],[0.7195909580193757],[0.7070333157059757],[0.9001724468288944],[0.8488045007032349],[0.8036028812674351]]	 ; [[0.803602881267435],[0.7132568684982663],[0.9382022471910112],[0.7070333157059757],[0.9984668455346877],[0.8488045007032349],[0.8036028812674351]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8061855813213102],[0.714548802946593],[0.7109947643979058],[0.7181385510312004],[0.8942326116114198],[0.8473980309423348],[0.8061855813213101]]	 ; [[0.8061855813213102],[0.714548802946593],[0.9382022471910112],[0.7181385510312004],[0.9984668455346877],[0.8488045007032349],[0.8061855813213101]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8245157015936259],[0.7088046129962298],[0.6108562691131498],[0.844162704701532],[0.8048686984857197],[0.8153305203938115],[0.8245157015936259]]	 ; [[0.8245157015936259],[0.714548802946593],[0.9382022471910112],[0.844162704701532],[0.9984668455346877],[0.8488045007032349],[0.8245157015936259]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8329651599200103],[0.7404297357372189],[0.6952690166975881],[0.791864764923402],[0.8740655549166187],[0.8521800281293952],[0.8329651599200103]]	 ; [[0.8329651599200103],[0.7404297357372189],[0.9382022471910112],[0.844162704701532],[0.9984668455346877],[0.8521800281293952],[0.8329651599200103]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8284586808881241],[0.6899209867026402],[0.5430825242718447],[0.9455890121500264],[0.7113283496262219],[0.7736990154711674],[0.8284586808881242]]	 ; [[0.8329651599200103],[0.7404297357372189],[0.9382022471910112],[0.9455890121500264],[0.9984668455346877],[0.8521800281293952],[0.8329651599200103]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8354865293904576],[0.7276877425245378],[0.6404178384893532],[0.8424947145877378],[0.8284783441931775],[0.8322081575246132],[0.8354865293904576]]	 ; [[0.8354865293904576],[0.7404297357372189],[0.9382022471910112],[0.9455890121500264],[0.9984668455346877],[0.8521800281293952],[0.8354865293904576]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8567041100083571],[0.7630085146641438],[0.6910882604970009],[0.851636747624076],[0.8617714723926381],[0.8590717299578059],[0.856704110008357]]	 ; [[0.8567041100083571],[0.7630085146641438],[0.9382022471910112],[0.9455890121500264],[0.9984668455346877],[0.8590717299578059],[0.856704110008357]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.790666074915999],[0.7068965517241379],[0.775047258979206],[0.6497622820919176],[0.9315698677400805],[0.8565400843881856],[0.790666074915999]]	 ; [[0.8567041100083571],[0.7630085146641438],[0.9382022471910112],[0.9455890121500264],[0.9984668455346877],[0.8590717299578059],[0.856704110008357]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8229191398776555],[0.7366779308552118],[0.7248081841432225],[0.7489429175475687],[0.8968953622077425],[0.8575246132208157],[0.8229191398776556]]	 ; [[0.8567041100083571],[0.7630085146641438],[0.9382022471910112],[0.9455890121500264],[0.9984668455346877],[0.8590717299578059],[0.856704110008357]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8077215031396443],[0.7209677419354839],[0.7335886214442013],[0.7087737843551797],[0.9066692219241088],[0.8540084388185654],[0.8077215031396443]]	 ; [[0.8567041100083571],[0.7630085146641438],[0.9382022471910112],[0.9455890121500264],[0.9984668455346877],[0.8590717299578059],[0.856704110008357]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8679647698607115],[0.7515869657215405],[0.6266760762173607],[0.9386892177589852],[0.7972403219624378],[0.8348804500703235],[0.8679647698607115]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9455890121500264],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8342729428936326],[0.692365835222978],[0.538506760728983],[0.9693121693121693],[0.6992337164750958],[0.7710267229254572],[0.8342729428936326]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8323345922869118],[0.7093782929399368],[0.5903191862504384],[0.8885955649419218],[0.7760736196319018],[0.8060478199718706],[0.8323345922869119]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.840929045416865],[0.7479318734793187],[0.6929666366095582],[0.8123678646934461],[0.8694902261402836],[0.8542897327707454],[0.8409290454168649]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8266395413997059],[0.7373763004313626],[0.709819247679531],[0.7671594508975713],[0.8861196319018405],[0.8544303797468354],[0.8266395413997059]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8365504459849809],[0.7141652613827993],[0.5941774815854086],[0.8948758584257792],[0.7782250335441825],[0.809282700421941],[0.8365504459849809]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8388300527837868],[0.7395635673624289],[0.6705376344086021],[0.8244315177154945],[0.8532285878520789],[0.8455696202531645],[0.8388300527837866]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8168346356772823],[0.6909934612950855],[0.5749385749385749],[0.8657505285412262],[0.7679187428133385],[0.7939521800281294],[0.8168346356772824]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8233729276686571],[0.6931864545083639],[0.564451827242525],[0.8979915433403806],[0.7487543119969337],[0.7884669479606189],[0.8233729276686571]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8343369674172262],[0.7111578947368421],[0.5909727081875438],[0.892706131078224],[0.7759678037562284],[0.8070323488045007],[0.8343369674172263]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8590717299578059],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8020486492925366],[0.720336605890603],[0.7674835624626419],[0.678646934460888],[0.9254503641241855],[0.859774964838256],[0.8020486492925367]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.859774964838256],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8470078841312455],[0.7433302667893285],[0.6571777145180968],[0.8554790894653256],[0.8385366787971653],[0.8430379746835444],[0.8470078841312454]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.859774964838256],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8347867373729732],[0.7523219814241485],[0.735249621785174],[0.7702060221870047],[0.8993674525589419],[0.8649789029535865],[0.8347867373729734]]	 ; [[0.8679647698607115],[0.7630085146641438],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.863787491177474],[0.7706422018348624],[0.6943620178041543],[0.8657505285412262],[0.8618244538137217],[0.8628691983122363],[0.863787491177474]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8471181702052938],[0.7360957234655441],[0.6334858886346301],[0.8783712321523004],[0.8158651082582871],[0.8324894514767932],[0.8471181702052937]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8349856408577562],[0.7074522685280231],[0.5783820073850285],[0.9106765327695561],[0.7592947489459563],[0.79957805907173],[0.8349856408577562]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.851751505199781],[0.7363872082973206],[0.6223520818115412],[0.9015873015873016],[0.8019157088122605],[0.8284106891701828],[0.851751505199781]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8404646955166966],[0.7094960851234692],[0.5718446601941748],[0.9344262295081968],[0.7465031615251964],[0.7964838255977497],[0.8404646955166966]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8425593884676058],[0.7391505078485688],[0.6564165641656416],[0.8457474907554147],[0.8393712861797968],[0.8410689170182841],[0.8425593884676057]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8287890345077519],[0.6964357228674408],[0.5607868429538858],[0.9186476492340201],[0.7389304197814837],[0.7867791842475387],[0.8287890345077519]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8213602549509755],[0.6860189573459715],[0.5477767265846736],[0.9175911251980983],[0.7251293847038528],[0.7763713080168776],[0.8213602549509755]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9693121693121693],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8029471086019528],[0.6522202486678508],[0.4911717495987159],[0.9704016913319239],[0.6354925258719816],[0.7246132208157524],[0.8029471086019527]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8157851619935256],[0.734926670287887],[0.7554438860971524],[0.7154944473823374],[0.9160758766047136],[0.8627285513361462],[0.8157851619935255]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.8649789029535865],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8084880977060267],[0.7311586051743533],[0.7821901323706378],[0.6863780359028511],[0.9305981595092024],[0.8655414908579465],[0.8084880977060267]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.8655414908579465],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8519353632929512],[0.7484018264840182],[0.6584973885094415],[0.866737176097303],[0.8371335504885994],[0.8450070323488045],[0.8519353632929512]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.8655414908579465],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.832740297095769],[0.7552966101694916],[0.7577045696068013],[0.7529039070749736],[0.9125766871165644],[0.870042194092827],[0.8327402970957689]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8152686626306564],[0.6724462872220128],[0.5225541886350322],[0.9429175475687104],[0.6876197776926025],[0.7555555555555555],[0.8152686626306564]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8378899835796387],[0.7540229885057471],[0.7288888888888889],[0.780952380952381],[0.8948275862068965],[0.8645569620253165],[0.8378899835796387]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8365361686331441],[0.7117304492512478],[0.5869639794168096],[0.9038563127311147],[0.7692160245351735],[0.8050632911392405],[0.8365361686331441]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6985911291471529],[0.5674486803519061],[0.9269461077844311],[0.40887480190174325],[0.9883074563925628],[0.8340365682137834],[0.698591129147153]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7972168222375464],[0.6482783486569317],[0.49192886456908347],[0.9503171247357294],[0.6441165197393638],[0.7255977496483825],[0.7972168222375466]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8494984714456564],[0.7523584905660378],[0.6790123456790124],[0.8434690639873083],[0.8555278789040046],[0.8523206751054853],[0.8494984714456564]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8407629975820458],[0.7521154803384769],[0.709722874589009],[0.7998941238750662],[0.8816318712890251],[0.859915611814346],[0.8407629975820456]]	 ; [[0.8679647698607115],[0.7706422018348624],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8679647698607115]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8726937807784254],[0.7778034682080925],[0.6910435497124076],[0.8894764674775251],[0.8559110940793255],[0.8648382559774965],[0.8726937807784253]]	 ; [[0.8726937807784254],[0.7778034682080925],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8726937807784253]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8509123246843768],[0.7499421697894981],[0.6665296052631579],[0.8572184029613961],[0.8446062464073577],[0.8479606188466948],[0.8509123246843768]]	 ; [[0.8726937807784254],[0.7778034682080925],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8726937807784253]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.825752599890531],[0.7465881723307466],[0.7552788305360043],[0.7380952380952381],[0.9134099616858238],[0.8668073136427566],[0.825752599890531]]	 ; [[0.8726937807784254],[0.7778034682080925],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8726937807784253]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8415973689268831],[0.7572078907435508],[0.7256422685409598],[0.7916446324695928],[0.8915501053841732],[0.8649789029535865],[0.841597368926883]]	 ; [[0.8726937807784254],[0.7778034682080925],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8726937807784253]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8400291160008033],[0.7117886178861789],[0.5786516853932584],[0.9244984160506864],[0.7555598159509203],[0.8005625879043601],[0.8400291160008033]]	 ; [[0.8726937807784254],[0.7778034682080925],[0.9382022471910112],[0.9704016913319239],[0.9984668455346877],[0.870042194092827],[0.8726937807784253]]
