Results: 	[0.8924]	
Results: 	[0.8924, 0.8512]	
Results: 	[0.8924, 0.8512, 0.8797]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414, 0.8649]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414, 0.8649, 0.8425]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414, 0.8649, 0.8425, 0.8525]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414, 0.8649, 0.8425, 0.8525, 0.8609]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414, 0.8649, 0.8425, 0.8525, 0.8609, 0.868]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414, 0.8649, 0.8425, 0.8525, 0.8609, 0.868, 0.874]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414, 0.8649, 0.8425, 0.8525, 0.8609, 0.868, 0.874, 0.9049]	
Results: 	[0.8924, 0.8512, 0.8797, 0.8847, 0.8885, 0.8674, 0.8915, 0.8346, 0.895, 0.8665, 0.843, 0.8299, 0.8498, 0.8421, 0.8879, 0.8364, 0.8325, 0.8923, 0.8388, 0.8571, 0.8763, 0.8414, 0.8649, 0.8425, 0.8525, 0.8609, 0.868, 0.874, 0.9049, 0.8799]
30 Support Sets: (Mean:0.86422, SD:0.0221639720080227) | 	




























