Results: 	[0.8971]	
Results: 	[0.8971, 0.8866]	
Results: 	[0.8971, 0.8866, 0.8871]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967, 0.8841]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967, 0.8841, 0.9112]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967, 0.8841, 0.9112, 0.8886]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967, 0.8841, 0.9112, 0.8886, 0.8964]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967, 0.8841, 0.9112, 0.8886, 0.8964, 0.8921]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967, 0.8841, 0.9112, 0.8886, 0.8964, 0.8921, 0.8969]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967, 0.8841, 0.9112, 0.8886, 0.8964, 0.8921, 0.8969, 0.9141]	
Results: 	[0.8971, 0.8866, 0.8871, 0.8618, 0.9026, 0.8914, 0.874, 0.9169, 0.9054, 0.8882, 0.8967, 0.8841, 0.9112, 0.8886, 0.8964, 0.8921, 0.8969, 0.9141, 0.9092]	
