Results: 	[0.8701]	
Results: 	[0.8701, 0.8517]	
Results: 	[0.8701, 0.8517, 0.9025]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867, 0.9032]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867, 0.9032, 0.8856]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867, 0.9032, 0.8856, 0.8268]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867, 0.9032, 0.8856, 0.8268, 0.9037]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867, 0.9032, 0.8856, 0.8268, 0.9037, 0.8618]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867, 0.9032, 0.8856, 0.8268, 0.9037, 0.8618, 0.8073]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867, 0.9032, 0.8856, 0.8268, 0.9037, 0.8618, 0.8073, 0.8587]	
Results: 	[0.8701, 0.8517, 0.9025, 0.8785, 0.8577, 0.8906, 0.9008, 0.8494, 0.8823, 0.8458, 0.9062, 0.867, 0.9032, 0.8856, 0.8268, 0.9037, 0.8618, 0.8073, 0.8587, 0.907]	
