[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.3772388059701493],[0.5216913783635366],[0.9875259875259875],[0.35447761194029853],[0.4],[0.3548148148148148],[0.37723880597014925]]	 ; [[0.3772388059701493],[0.5216913783635366],[0.9875259875259875],[0.35447761194029853],[0.4],[0.3548148148148148],[0.37723880597014925]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.41604477611940305],[0.06209386281588448],[0.9555555555555556],[0.03208955223880597],[0.8],[0.03777777777777778],[0.416044776119403]]	 ; [[0.41604477611940305],[0.5216913783635366],[0.9875259875259875],[0.35447761194029853],[0.8],[0.3548148148148148],[0.416044776119403]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.4063432835820895],[0.20214190093708168],[0.9805194805194806],[0.1126865671641791],[0.7],[0.11703703703703704],[0.40634328358208954]]	 ; [[0.41604477611940305],[0.5216913783635366],[0.9875259875259875],[0.35447761194029853],[0.8],[0.3548148148148148],[0.416044776119403]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.47164179104477616],[0.08291636883488206],[0.9830508474576272],[0.04328358208955224],[0.9],[0.04962962962962963],[0.4716417910447761]]	 ; [[0.47164179104477616],[0.5216913783635366],[0.9875259875259875],[0.35447761194029853],[0.9],[0.3548148148148148],[0.4716417910447761]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.4787313432835821],[0.5255074053757542],[0.9917184265010351],[0.3574626865671642],[0.6],[0.3592592592592593],[0.4787313432835821]]	 ; [[0.4787313432835821],[0.5255074053757542],[0.9917184265010351],[0.3574626865671642],[0.9],[0.3592592592592593],[0.4787313432835821]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.4343283582089552],[0.5372485046220773],[0.9899799599198397],[0.3686567164179104],[0.5],[0.36962962962962964],[0.4343283582089552]]	 ; [[0.4787313432835821],[0.5372485046220773],[0.9917184265010351],[0.3686567164179104],[0.9],[0.36962962962962964],[0.4787313432835821]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5235074626865672],[0.6165723108594956],[0.9933665008291874],[0.4470149253731343],[0.6],[0.44814814814814813],[0.5235074626865671]]	 ; [[0.5235074626865672],[0.6165723108594956],[0.9933665008291874],[0.4470149253731343],[0.9],[0.44814814814814813],[0.5235074626865671]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5264925373134328],[0.4033313503866746],[0.9941348973607038],[0.25298507462686565],[0.8],[0.25703703703703706],[0.5264925373134328]]	 ; [[0.5264925373134328],[0.6165723108594956],[0.9941348973607038],[0.4470149253731343],[0.9],[0.44814814814814813],[0.5264925373134328]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5951492537313433],[0.5608579088471849],[0.9961904761904762],[0.3902985074626866],[0.8],[0.3933333333333333],[0.5951492537313433]]	 ; [[0.5951492537313433],[0.6165723108594956],[0.9961904761904762],[0.4470149253731343],[0.9],[0.44814814814814813],[0.5951492537313433]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5902985074626865],[0.7332704995287466],[0.9948849104859335],[0.5805970149253732],[0.6],[0.5807407407407408],[0.5902985074626865]]	 ; [[0.5951492537313433],[0.7332704995287466],[0.9961904761904762],[0.5805970149253732],[0.9],[0.5807407407407408],[0.5951492537313433]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5462686567164179],[0.7424029920523609],[0.9937421777221527],[0.5925373134328358],[0.5],[0.5918518518518519],[0.5462686567164179]]	 ; [[0.5951492537313433],[0.7424029920523609],[0.9961904761904762],[0.5925373134328358],[0.9],[0.5918518518518519],[0.5951492537313433]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7082089552238807],[0.6807673389080178],[0.9985569985569985],[0.5164179104477612],[0.9],[0.5192592592592593],[0.7082089552238806]]	 ; [[0.7082089552238807],[0.7424029920523609],[0.9985569985569985],[0.5925373134328358],[0.9],[0.5918518518518519],[0.7082089552238806]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.541044776119403],[0.43953488372093025],[0.9947368421052631],[0.282089552238806],[0.8],[0.2859259259259259],[0.541044776119403]]	 ; [[0.7082089552238807],[0.7424029920523609],[0.9985569985569985],[0.5925373134328358],[0.9],[0.5918518518518519],[0.7082089552238806]]
