Results: 	[0.9079]	
Results: 	[0.9079, 0.8326]	
Results: 	[0.9079, 0.8326, 0.7328]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372, 0.7628]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372, 0.7628, 0.8853]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372, 0.7628, 0.8853, 0.7698]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372, 0.7628, 0.8853, 0.7698, 0.4451]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372, 0.7628, 0.8853, 0.7698, 0.4451, 0.8063]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372, 0.7628, 0.8853, 0.7698, 0.4451, 0.8063, 0.8571]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372, 0.7628, 0.8853, 0.7698, 0.4451, 0.8063, 0.8571, 0.8213]	
Results: 	[0.9079, 0.8326, 0.7328, 0.83, 0.7032, 0.3911, 0.8681, 0.9475, 0.5294, 0.7785, 0.8372, 0.7628, 0.8853, 0.7698, 0.4451, 0.8063, 0.8571, 0.8213, 0.8391]	
