Results: 	[0.9903]	
Results: 	[0.9903, 0.9868]	
Results: 	[0.9903, 0.9868, 0.9906]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897, 0.9895]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897, 0.9895, 0.9873]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897, 0.9895, 0.9873, 0.9875]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897, 0.9895, 0.9873, 0.9875, 0.9915]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897, 0.9895, 0.9873, 0.9875, 0.9915, 0.9893]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897, 0.9895, 0.9873, 0.9875, 0.9915, 0.9893, 0.9915]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897, 0.9895, 0.9873, 0.9875, 0.9915, 0.9893, 0.9915, 0.9913]	
Results: 	[0.9903, 0.9868, 0.9906, 0.9906, 0.9911, 0.9878, 0.9885, 0.9884, 0.9897, 0.9895, 0.9873, 0.9875, 0.9915, 0.9893, 0.9915, 0.9913, 0.9878]	
