Results: 	[0.7071]	
Results: 	[0.7071, 0.578]	
Results: 	[0.7071, 0.578, 0.6269]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179, 0.669]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179, 0.669, 0.672]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179, 0.669, 0.672, 0.7485]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179, 0.669, 0.672, 0.7485, 0.5705]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179, 0.669, 0.672, 0.7485, 0.5705, 0.6478]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179, 0.669, 0.672, 0.7485, 0.5705, 0.6478, 0.7172]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179, 0.669, 0.672, 0.7485, 0.5705, 0.6478, 0.7172, 0.6388]	
Results: 	[0.7071, 0.578, 0.6269, 0.7444, 0.7081, 0.6235, 0.6485, 0.6429, 0.7198, 0.6343, 0.6112, 0.5836, 0.7504, 0.6731, 0.7582, 0.7187, 0.6239, 0.7149, 0.6757, 0.7168, 0.5243, 0.6179, 0.669, 0.672, 0.7485, 0.5705, 0.6478, 0.7172, 0.6388, 0.6795]
30 Support Sets: (Mean:0.6648499999999999, SD:0.05951197358515343) | 	


















































































