Results: 	[0.8]	
Results: 	[0.8, 0.4]	
Results: 	[0.8, 0.4, 0.9]	
Results: 	[0.8, 0.4, 0.9, 0.8]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6, 0.7]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6, 0.7, 0.7]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6, 0.7, 0.7, 0.8]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6, 0.7, 0.7, 0.8, 0.2]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6, 0.7, 0.7, 0.8, 0.2, 0.7]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6, 0.7, 0.7, 0.8, 0.2, 0.7, 0.9]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6, 0.7, 0.7, 0.8, 0.2, 0.7, 0.9, 0.5]	
Results: 	[0.8, 0.4, 0.9, 0.8, 0.7778, 0.5, 0.6, 0.6, 0.7, 0.8, 0.4, 0.6, 0.9, 0.7, 0.9, 0.9, 0.5, 0.9, 0.9, 0.8, 0.2, 0.6, 0.7, 0.7, 0.8, 0.2, 0.7, 0.9, 0.5, 0.9]
30 Support Sets: (Mean:0.6859266666666667, SD:0.20427424759348659) | 	


















































































