Results: 	[1.0]	
Results: 	[1.0, 0.6]	
Results: 	[1.0, 0.6, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4, 0.6, 1.0]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4, 0.6, 1.0, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4, 0.6, 1.0, 0.8, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4, 0.6, 1.0, 0.8, 0.6, 0.8]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4, 0.6, 1.0, 0.8, 0.6, 0.8, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4, 0.6, 1.0, 0.8, 0.6, 0.8, 0.6, 0.6]	
Results: 	[1.0, 0.6, 0.6, 0.25, 0.6, 0.6, 0.6, 0.8, 1.0, 0.8, 0.8, 0.2, 1.0, 0.2, 0.6, 0.8, 0.8, 0.8, 1.0, 0.8, 0.4, 0.4, 0.6, 1.0, 0.8, 0.6, 0.8, 0.6, 0.6, 0.2]
30 Support Sets: (Mean:0.6616666666666666, SD:0.24413228936919362) | 	











































































































































































































