Results: 	[0.9179]	
Results: 	[0.9179, 0.8187]	
Results: 	[0.9179, 0.8187, 0.7336]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104, 0.6612]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104, 0.6612, 0.7261]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104, 0.6612, 0.7261, 0.1843]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104, 0.6612, 0.7261, 0.1843, 0.7619]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104, 0.6612, 0.7261, 0.1843, 0.7619, 0.6463]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104, 0.6612, 0.7261, 0.1843, 0.7619, 0.6463, 0.2918]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104, 0.6612, 0.7261, 0.1843, 0.7619, 0.6463, 0.2918, 0.7418]	
Results: 	[0.9179, 0.8187, 0.7336, 0.8724, 0.5216, 0.741, 0.6769, 0.6142, 0.0037, 0.7754, 0.8075, 0.7336, 0.7649, 0.741, 0.6522, 0.5104, 0.6612, 0.7261, 0.1843, 0.7619, 0.6463, 0.2918, 0.7418, 0.6463]	
