Results: 	[0.4607]	
Results: 	[0.4607, 0.8094]	
Results: 	[0.4607, 0.8094, 0.7667]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446, 0.4719]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446, 0.4719, 0.7228]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446, 0.4719, 0.7228, 0.6858]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446, 0.4719, 0.7228, 0.6858, 0.839]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446, 0.4719, 0.7228, 0.6858, 0.839, 0.5955]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446, 0.4719, 0.7228, 0.6858, 0.839, 0.5955, 0.7779]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446, 0.4719, 0.7228, 0.6858, 0.839, 0.5955, 0.7779, 0.4213]	
Results: 	[0.4607, 0.8094, 0.7667, 0.7367, 0.7599, 0.7704, 0.8378, 0.7067, 0.5, 0.7627, 0.5049, 0.5674, 0.6828, 0.6708, 0.7258, 0.7543, 0.83, 0.7629, 0.5906, 0.6813, 0.8225, 0.6446, 0.4719, 0.7228, 0.6858, 0.839, 0.5955, 0.7779, 0.4213, 0.8157]
30 Support Sets: (Mean:0.6892933333333333, SD:0.1224574547746484) | 	
















































































































































































































































































































































































































































































