Results: 	[0.7582]	
Results: 	[0.7582, 0.8152]	
Results: 	[0.7582, 0.8152, 0.8219]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264, 0.8674]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264, 0.8674, 0.7739]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264, 0.8674, 0.7739, 0.8589]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264, 0.8674, 0.7739, 0.8589, 0.7665]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264, 0.8674, 0.7739, 0.8589, 0.7665, 0.7715]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264, 0.8674, 0.7739, 0.8589, 0.7665, 0.7715, 0.7108]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264, 0.8674, 0.7739, 0.8589, 0.7665, 0.7715, 0.7108, 0.7364]	
Results: 	[0.7582, 0.8152, 0.8219, 0.8132, 0.7451, 0.7409, 0.7704, 0.7356, 0.7558, 0.8107, 0.7704, 0.7086, 0.7981, 0.6718, 0.602, 0.8635, 0.1264, 0.8674, 0.7739, 0.8589, 0.7665, 0.7715, 0.7108, 0.7364, 0.7478]	
