Results: 	[0.9213]	
Results: 	[0.9213, 0.8187]	
Results: 	[0.9213, 0.8187, 0.7333]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754, 0.8097]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754, 0.8097, 0.7348]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754, 0.8097, 0.7348, 0.7655]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754, 0.8097, 0.7348, 0.7655, 0.7416]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754, 0.8097, 0.7348, 0.7655, 0.7416, 0.6517]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754, 0.8097, 0.7348, 0.7655, 0.7416, 0.6517, 0.5086]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754, 0.8097, 0.7348, 0.7655, 0.7416, 0.6517, 0.5086, 0.6599]	
Results: 	[0.9213, 0.8187, 0.7333, 0.8734, 0.5199, 0.7408, 0.6757, 0.6135, 0.0, 0.7754, 0.8097, 0.7348, 0.7655, 0.7416, 0.6517, 0.5086, 0.6599, 0.7258]	
