Results: 	[0.8785]	
Results: 	[0.8785, 0.8385]	
Results: 	[0.8785, 0.8385, 0.8622]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863, 0.8644]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863, 0.8644, 0.8467]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863, 0.8644, 0.8467, 0.8422]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863, 0.8644, 0.8467, 0.8422, 0.8696]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863, 0.8644, 0.8467, 0.8422, 0.8696, 0.8681]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863, 0.8644, 0.8467, 0.8422, 0.8696, 0.8681, 0.8556]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863, 0.8644, 0.8467, 0.8422, 0.8696, 0.8681, 0.8556, 0.8844]	
Results: 	[0.8785, 0.8385, 0.8622, 0.8674, 0.8807, 0.8726, 0.8548, 0.8504, 0.863, 0.8548, 0.8844, 0.8704, 0.863, 0.8659, 0.8541, 0.8785, 0.8756, 0.8696, 0.8652, 0.8696, 0.8615, 0.863, 0.8644, 0.8467, 0.8422, 0.8696, 0.8681, 0.8556, 0.8844, 0.8481]
30 Support Sets: (Mean:0.8640933333333334, SD:0.011921407384322893) | 	






























































