Results: 	[0.986]	
Results: 	[0.986, 0.9884]	
Results: 	[0.986, 0.9884, 0.9876]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877, 0.9877]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877, 0.9877, 0.9893]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877, 0.9877, 0.9893, 0.99]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877, 0.9877, 0.9893, 0.99, 0.986]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877, 0.9877, 0.9893, 0.99, 0.986, 0.9877]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877, 0.9877, 0.9893, 0.99, 0.986, 0.9877, 0.9885]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877, 0.9877, 0.9893, 0.99, 0.986, 0.9877, 0.9885, 0.9878]	
Results: 	[0.986, 0.9884, 0.9876, 0.9886, 0.986, 0.9877, 0.9876, 0.9885, 0.9892, 0.9885, 0.9861, 0.9868, 0.9885, 0.9877, 0.9876, 0.9852, 0.986, 0.9877, 0.9868, 0.9868, 0.9876, 0.9877, 0.9877, 0.9893, 0.99, 0.986, 0.9877, 0.9885, 0.9878, 0.9875]
30 Support Sets: (Mean:0.9875700000000001, SD:0.001119467237819731) | 	






























































