Results: 	[0.8836]	
Results: 	[0.8836, 0.841]	
Results: 	[0.8836, 0.841, 0.8657]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664, 0.8679]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664, 0.8679, 0.8485]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664, 0.8679, 0.8485, 0.8441]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664, 0.8679, 0.8485, 0.8441, 0.8746]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664, 0.8679, 0.8485, 0.8441, 0.8746, 0.8716]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664, 0.8679, 0.8485, 0.8441, 0.8746, 0.8716, 0.8582]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664, 0.8679, 0.8485, 0.8441, 0.8746, 0.8716, 0.8582, 0.8881]	
Results: 	[0.8836, 0.841, 0.8657, 0.8701, 0.8858, 0.8761, 0.8582, 0.853, 0.8658, 0.8575, 0.8896, 0.8746, 0.8657, 0.8694, 0.8575, 0.8843, 0.8806, 0.8731, 0.8694, 0.8739, 0.8649, 0.8664, 0.8679, 0.8485, 0.8441, 0.8746, 0.8716, 0.8582, 0.8881, 0.8515]
30 Support Sets: (Mean:0.86769, SD:0.01273749149774682) | 	






























































