[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.47838022610653047],[0.04828660436137072],[0.0610236220472441],[0.03994845360824742],[0.9168119986048134],[0.8122887864823348],[0.4783802261065304]]	 ; [[0.47838022610653047],[0.04828660436137072],[0.0610236220472441],[0.03994845360824742],[0.9168119986048134],[0.8122887864823348],[0.4783802261065304]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5881148024005167],[0.2758161225849434],[0.28591160220994477],[0.26640926640926643],[0.909820338391767],[0.833026113671275],[0.5881148024005167]]	 ; [[0.5881148024005167],[0.2758161225849434],[0.28591160220994477],[0.26640926640926643],[0.9168119986048134],[0.833026113671275],[0.5881148024005167]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6611087688197368],[0.3867595818815331],[0.35200845665961944],[0.42912371134020616],[0.8930938262992675],[0.8377880184331797],[0.6611087688197368]]	 ; [[0.6611087688197368],[0.3867595818815331],[0.35200845665961944],[0.42912371134020616],[0.9168119986048134],[0.8377880184331797],[0.6611087688197368]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7738649167220596],[0.48269896193771633],[0.36351791530944627],[0.7181467181467182],[0.829583115297401],[0.8162826420890937],[0.7738649167220596]]	 ; [[0.7738649167220596],[0.48269896193771633],[0.36351791530944627],[0.7181467181467182],[0.9168119986048134],[0.8377880184331797],[0.7738649167220596]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8167791024933881],[0.45209768315591736],[0.29871741828713283],[0.9292149292149292],[0.7043432757718472],[0.7311827956989247],[0.8167791024933881]]	 ; [[0.8167791024933881],[0.48269896193771633],[0.36351791530944627],[0.9292149292149292],[0.9168119986048134],[0.8377880184331797],[0.8167791024933881]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8167413881699596],[0.44140392623438435],[0.2870406189555126],[0.954954954954955],[0.6785278213849643],[0.7115207373271889],[0.8167413881699597]]	 ; [[0.8167791024933881],[0.48269896193771633],[0.36351791530944627],[0.954954954954955],[0.9168119986048134],[0.8377880184331797],[0.8167791024933881]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8004912290626576],[0.5004108463434676],[0.3675316837658419],[0.7837837837837838],[0.8171986743415315],[0.81321044546851],[0.8004912290626576]]	 ; [[0.8167791024933881],[0.5004108463434676],[0.3675316837658419],[0.954954954954955],[0.9168119986048134],[0.8377880184331797],[0.8167791024933881]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8514621371764229],[0.5359877488514548],[0.3814713896457766],[0.9009009009009009],[0.8020233734519449],[0.8138248847926267],[0.8514621371764228]]	 ; [[0.8514621371764229],[0.5359877488514548],[0.3814713896457766],[0.954954954954955],[0.9168119986048134],[0.8377880184331797],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8199302528334784],[0.44097733294083014],[0.28565980167810834],[0.9664516129032258],[0.6734088927637315],[0.708294930875576],[0.8199302528334786]]	 ; [[0.8514621371764229],[0.5359877488514548],[0.3814713896457766],[0.9664516129032258],[0.9168119986048134],[0.8377880184331797],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7498736960578787],[0.35417150825005805],[0.2160476325489084],[0.9819587628865979],[0.5177886292291594],[0.5731182795698925],[0.7498736960578787]]	 ; [[0.8514621371764229],[0.5359877488514548],[0.3814713896457766],[0.9819587628865979],[0.9168119986048134],[0.8377880184331797],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8088638088638088],[0.42314141978759084],[0.2702606212067119],[0.9742599742599742],[0.6434676434676435],[0.6829493087557603],[0.8088638088638089]]	 ; [[0.8514621371764229],[0.5359877488514548],[0.3814713896457766],[0.9819587628865979],[0.9168119986048134],[0.8377880184331797],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8380122726079561],[0.47245091830272323],[0.3131821998320739],[0.961340206185567],[0.7146843390303453],[0.7440860215053764],[0.8380122726079562]]	 ; [[0.8514621371764229],[0.5359877488514548],[0.3814713896457766],[0.9819587628865979],[0.9168119986048134],[0.8377880184331797],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8298061122118383],[0.45323741007194246],[0.2953125],[0.9742268041237113],[0.6853854202999651],[0.719815668202765],[0.8298061122118382]]	 ; [[0.8514621371764229],[0.5359877488514548],[0.3814713896457766],[0.9819587628865979],[0.9168119986048134],[0.8377880184331797],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7964369253395374],[0.5929705215419502],[0.5293522267206477],[0.6739690721649485],[0.9189047785141262],[0.8897081413210446],[0.7964369253395374]]	 ; [[0.8514621371764229],[0.5929705215419502],[0.5293522267206477],[0.9819587628865979],[0.9189047785141262],[0.8897081413210446],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7501885569527398],[0.35469587508739225],[0.21650071123755335],[0.9806701030927835],[0.5197070108126962],[0.5746543778801844],[0.7501885569527398]]	 ; [[0.8514621371764229],[0.5929705215419502],[0.5293522267206477],[0.9819587628865979],[0.9189047785141262],[0.8897081413210446],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7319902319902319],[0.533071381794368],[0.5426666666666666],[0.5238095238095238],[0.9401709401709402],[0.8904761904761904],[0.731990231990232]]	 ; [[0.8514621371764229],[0.5929705215419502],[0.5426666666666666],[0.9819587628865979],[0.9401709401709402],[0.8904761904761904],[0.8514621371764228]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.822415036700751],[0.4418536869717284],[0.28560663149962323],[0.9755469755469756],[0.6692830978545264],[0.705837173579109],[0.822415036700751]]	 ; [[0.8514621371764229],[0.5929705215419502],[0.5426666666666666],[0.9819587628865979],[0.9401709401709402],[0.8904761904761904],[0.8514621371764228]]
