[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.4997005926341487],[0.2119460500963391],[0.11855273287143957],[0.9987029831387808],[0.0006982021295164951],[0.11907692307692308],[0.4997005926341487]]	 ; [[0.4997005926341487],[0.2119460500963391],[0.11855273287143957],[0.9987029831387808],[0.0006982021295164951],[0.11907692307692308],[0.4997005926341487]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5],[0.21232123212321233],[0.11876923076923077],[1.0],[0.0],[0.11876923076923077],[0.5]]	 ; [[0.5],[0.21232123212321233],[0.11876923076923077],[1.0],[0.0006982021295164951],[0.11907692307692308],[0.5]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5001745505323791],[0.212133718530747],[0.11865189289012004],[1.0],[0.00034910106475824753],[0.11892307692307692],[0.5001745505323791]]	 ; [[0.5001745505323791],[0.21232123212321233],[0.11876923076923077],[1.0],[0.0006982021295164951],[0.11907692307692308],[0.5001745505323791]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5010108511592902],[0.21263099834528404],[0.11898148148148148],[0.9987046632124352],[0.0033170391061452514],[0.12153846153846154],[0.5010108511592902]]	 ; [[0.5010108511592902],[0.21263099834528404],[0.11898148148148148],[1.0],[0.0033170391061452514],[0.12153846153846154],[0.5010108511592902]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5075553665912091],[0.21460423634336678],[0.12021857923497267],[0.9987029831387808],[0.016407750043637634],[0.13292307692307692],[0.5075553665912093]]	 ; [[0.5075553665912091],[0.21460423634336678],[0.12021857923497267],[1.0],[0.016407750043637634],[0.13292307692307692],[0.5075553665912093]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5469165116427016],[0.22899628252788098],[0.12932482364796774],[0.9987029831387808],[0.09513004014662245],[0.2023076923076923],[0.5469165116427016]]	 ; [[0.5469165116427016],[0.22899628252788098],[0.12932482364796774],[1.0],[0.09513004014662245],[0.2023076923076923],[0.5469165116427016]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6309116541119328],[0.26750700280112044],[0.15462456992511636],[0.9909208819714657],[0.2709024262524001],[0.3563076923076923],[0.6309116541119328]]	 ; [[0.6309116541119328],[0.26750700280112044],[0.15462456992511636],[1.0],[0.2709024262524001],[0.3563076923076923],[0.6309116541119328]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.7521650758387124],[0.3545010467550593],[0.2160476325489084],[0.9870466321243523],[0.5172835195530726],[0.573076923076923],[0.7521650758387124]]	 ; [[0.7521650758387124],[0.3545010467550593],[0.2160476325489084],[1.0],[0.5172835195530726],[0.573076923076923],[0.7521650758387124]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8009238320259356],[0.4078242229367631],[0.2570945945945946],[0.9857512953367875],[0.6160963687150838],[0.66],[0.8009238320259356]]	 ; [[0.8009238320259356],[0.4078242229367631],[0.2570945945945946],[1.0],[0.6160963687150838],[0.66],[0.8009238320259356]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8465315367470403],[0.47799936688825573],[0.31629660661918724],[0.977979274611399],[0.7150837988826816],[0.7463076923076923],[0.8465315367470403]]	 ; [[0.8465315367470403],[0.47799936688825573],[0.31629660661918724],[1.0],[0.7150837988826816],[0.7463076923076923],[0.8465315367470403]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8637838488146583],[0.5162404975812025],[0.3520263901979265],[0.9676165803108808],[0.7599511173184358],[0.7846153846153846],[0.8637838488146583]]	 ; [[0.8637838488146583],[0.5162404975812025],[0.3520263901979265],[1.0],[0.7599511173184358],[0.7846153846153846],[0.8637838488146583]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8719665419573334],[0.5362162162162162],[0.37144283574638043],[0.9637305699481865],[0.7802025139664804],[0.802],[0.8719665419573335]]	 ; [[0.8719665419573334],[0.5362162162162162],[0.37144283574638043],[1.0],[0.7802025139664804],[0.802],[0.8719665419573335]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8762750282484342],[0.551440329218107],[0.3874868559411146],[0.9559014267185474],[0.7966486297783208],[0.8155384615384615],[0.8762750282484342]]	 ; [[0.8762750282484342],[0.551440329218107],[0.3874868559411146],[1.0],[0.7966486297783208],[0.8155384615384615],[0.8762750282484342]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8823542077468779],[0.5713169206721376],[0.4086081609837898],[0.9493506493506494],[0.8153577661431065],[0.8312307692307692],[0.882354207746878]]	 ; [[0.8823542077468779],[0.5713169206721376],[0.4086081609837898],[1.0],[0.8153577661431065],[0.8312307692307692],[0.882354207746878]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8863092404977222],[0.5781803859787319],[0.41492368569813454],[0.9532467532467532],[0.819371727748691],[0.8352307692307692],[0.8863092404977222]]	 ; [[0.8863092404977222],[0.5781803859787319],[0.41492368569813454],[1.0],[0.819371727748691],[0.8352307692307692],[0.8863092404977222]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.890885966943584],[0.5850769838136597],[0.42078364565587734],[0.9598445595854922],[0.821927374301676],[0.8383076923076923],[0.890885966943584]]	 ; [[0.890885966943584],[0.5850769838136597],[0.42078364565587734],[1.0],[0.821927374301676],[0.8383076923076923],[0.890885966943584]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8956050814831968],[0.6066115702479339],[0.44538834951456313],[0.9507772020725389],[0.8404329608938548],[0.8535384615384616],[0.8956050814831968]]	 ; [[0.8956050814831968],[0.6066115702479339],[0.44538834951456313],[1.0],[0.8404329608938548],[0.8535384615384616],[0.8956050814831968]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.891139245086404],[0.5916398713826367],[0.4289044289044289],[0.9533678756476683],[0.8289106145251397],[0.8436923076923077],[0.891139245086404]]	 ; [[0.8956050814831968],[0.6066115702479339],[0.44538834951456313],[1.0],[0.8404329608938548],[0.8535384615384616],[0.8956050814831968]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8884472602541467],[0.586730615507594],[0.42427745664739885],[0.9507772020725389],[0.8261173184357542],[0.8409230769230769],[0.8884472602541466]]	 ; [[0.8956050814831968],[0.6066115702479339],[0.44538834951456313],[1.0],[0.8404329608938548],[0.8535384615384616],[0.8956050814831968]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8908124161348083],[0.5892714171337069],[0.4261725535610886],[0.9546044098573282],[0.8270204224122883],[0.8421538461538461],[0.8908124161348083]]	 ; [[0.8956050814831968],[0.6066115702479339],[0.44538834951456313],[1.0],[0.8404329608938548],[0.8535384615384616],[0.8956050814831968]]
