Results: 	[0.9065]	
Results: 	[0.9065, 0.9267]	
Results: 	[0.9065, 0.9267, 0.8549]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619, 0.8506]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619, 0.8506, 0.871]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619, 0.8506, 0.871, 0.8431]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619, 0.8506, 0.871, 0.8431, 0.8203]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619, 0.8506, 0.871, 0.8431, 0.8203, 0.8365]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619, 0.8506, 0.871, 0.8431, 0.8203, 0.8365, 0.7947]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619, 0.8506, 0.871, 0.8431, 0.8203, 0.8365, 0.7947, 0.8909]	
Results: 	[0.9065, 0.9267, 0.8549, 0.9342, 0.8689, 0.8555, 0.8971, 0.8567, 0.9199, 0.8458, 0.8129, 0.8609, 0.8619, 0.8506, 0.871, 0.8431, 0.8203, 0.8365, 0.7947, 0.8909, 0.8412]	
