Results: 	[0.8884]	
Results: 	[0.8884, 0.9679]	
Results: 	[0.8884, 0.9679, 0.8115]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873, 0.8057]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873, 0.8057, 0.6175]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873, 0.8057, 0.6175, 0.8796]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873, 0.8057, 0.6175, 0.8796, 0.8001]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873, 0.8057, 0.6175, 0.8796, 0.8001, 0.7747]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873, 0.8057, 0.6175, 0.8796, 0.8001, 0.7747, 0.869]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873, 0.8057, 0.6175, 0.8796, 0.8001, 0.7747, 0.869, 0.8443]	
Results: 	[0.8884, 0.9679, 0.8115, 0.9313, 0.8298, 0.8118, 0.8741, 0.8127, 0.9086, 0.7984, 0.748, 0.82, 0.8223, 0.8032, 0.8338, 0.7962, 0.7604, 0.7862, 0.7215, 0.8636, 0.7902, 0.8873, 0.8057, 0.6175, 0.8796, 0.8001, 0.7747, 0.869, 0.8443, 0.8634]
30 Support Sets: (Mean:0.82405, SD:0.06695606768620749) | 	













































