Results: 	[0.956]	
Results: 	[0.956, 0.9593]	
Results: 	[0.956, 0.9593, 0.9569]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615, 0.9665]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615, 0.9665, 0.9555]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615, 0.9665, 0.9555, 0.9551]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615, 0.9665, 0.9555, 0.9551, 0.9608]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615, 0.9665, 0.9555, 0.9551, 0.9608, 0.9619]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615, 0.9665, 0.9555, 0.9551, 0.9608, 0.9619, 0.965]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615, 0.9665, 0.9555, 0.9551, 0.9608, 0.9619, 0.965, 0.9627]	
Results: 	[0.956, 0.9593, 0.9569, 0.9516, 0.9595, 0.9548, 0.9632, 0.9615, 0.9665, 0.9555, 0.9551, 0.9608, 0.9619, 0.965, 0.9627, 0.9552]	
