Results: 	[0.9196]	
Results: 	[0.9196, 0.9646]	
Results: 	[0.9196, 0.9646, 0.9494]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628, 0.9034]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628, 0.9034, 0.9548]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628, 0.9034, 0.9548, 0.772]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628, 0.9034, 0.9548, 0.772, 0.9494]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628, 0.9034, 0.9548, 0.772, 0.9494, 0.9459]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628, 0.9034, 0.9548, 0.772, 0.9494, 0.9459, 0.9267]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628, 0.9034, 0.9548, 0.772, 0.9494, 0.9459, 0.9267, 0.911]	
Results: 	[0.9196, 0.9646, 0.9494, 0.8624, 0.925, 0.9021, 0.9686, 0.9077, 0.9562, 0.9337, 0.9513, 0.9601, 0.9135, 0.9642, 0.9363, 0.8966, 0.9444, 0.933, 0.9006, 0.8807, 0.9498, 0.9628, 0.9034, 0.9548, 0.772, 0.9494, 0.9459, 0.9267, 0.911, 0.8042]
30 Support Sets: (Mean:0.9216666666666666, SD:0.04537511343831803) | 	









