Results: 	[0.9348]	
Results: 	[0.9348, 0.9323]	
Results: 	[0.9348, 0.9323, 0.935]	
Results: 	[0.9348, 0.9323, 0.935, 0.929]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374, 0.9304]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374, 0.9304, 0.9324]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374, 0.9304, 0.9324, 0.9345]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374, 0.9304, 0.9324, 0.9345, 0.9335]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374, 0.9304, 0.9324, 0.9345, 0.9335, 0.9206]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374, 0.9304, 0.9324, 0.9345, 0.9335, 0.9206, 0.9329]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374, 0.9304, 0.9324, 0.9345, 0.9335, 0.9206, 0.9329, 0.9311]	
Results: 	[0.9348, 0.9323, 0.935, 0.929, 0.9231, 0.9332, 0.9352, 0.9307, 0.9288, 0.9341, 0.9212, 0.9293, 0.9336, 0.9307, 0.9313, 0.9346, 0.9322, 0.9322, 0.9353, 0.9239, 0.9379, 0.9374, 0.9304, 0.9324, 0.9345, 0.9335, 0.9206, 0.9329, 0.9311, 0.9341]
30 Support Sets: (Mean:0.9315100000000001, SD:0.004351563333823355) | 	



















































