Results: 	[0.8653]	
Results: 	[0.8653, 0.8561]	
Results: 	[0.8653, 0.8561, 0.8367]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737, 0.8386]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737, 0.8386, 0.8576]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737, 0.8386, 0.8576, 0.8883]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737, 0.8386, 0.8576, 0.8883, 0.8685]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737, 0.8386, 0.8576, 0.8883, 0.8685, 0.8716]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737, 0.8386, 0.8576, 0.8883, 0.8685, 0.8716, 0.8586]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737, 0.8386, 0.8576, 0.8883, 0.8685, 0.8716, 0.8586, 0.8711]	
Results: 	[0.8653, 0.8561, 0.8367, 0.8568, 0.8511, 0.852, 0.8791, 0.8519, 0.8465, 0.8718, 0.868, 0.8664, 0.8427, 0.8759, 0.8626, 0.837, 0.853, 0.7753, 0.8706, 0.8638, 0.8652, 0.8737, 0.8386, 0.8576, 0.8883, 0.8685, 0.8716, 0.8586, 0.8711, 0.8643]
30 Support Sets: (Mean:0.8580033333333333, SD:0.02012415743934832) | 	
















