Results: 	[0.8414]	
Results: 	[0.8414, 0.783]	
Results: 	[0.8414, 0.783, 0.6471]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402, 0.7116]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402, 0.7116, 0.7167]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402, 0.7116, 0.7167, 0.9152]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402, 0.7116, 0.7167, 0.9152, 0.7683]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402, 0.7116, 0.7167, 0.9152, 0.7683, 0.9179]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402, 0.7116, 0.7167, 0.9152, 0.7683, 0.9179, 0.8116]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402, 0.7116, 0.7167, 0.9152, 0.7683, 0.9179, 0.8116, 0.7965]	
Results: 	[0.8414, 0.783, 0.6471, 0.6752, 0.9343, 0.8935, 0.9363, 0.6555, 0.7613, 0.9089, 0.6669, 0.8506, 0.767, 0.8362, 0.6628, 0.9827, 0.704, 0.704, 0.9008, 0.8402, 0.7116, 0.7167, 0.9152, 0.7683, 0.9179, 0.8116, 0.7965, 0.9363]	
