Results: 	[0.8514]	
Results: 	[0.8514, 0.8486]	
Results: 	[0.8514, 0.8486, 0.8666]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729, 0.8614]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729, 0.8614, 0.8566]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729, 0.8614, 0.8566, 0.8393]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729, 0.8614, 0.8566, 0.8393, 0.8772]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729, 0.8614, 0.8566, 0.8393, 0.8772, 0.8803]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729, 0.8614, 0.8566, 0.8393, 0.8772, 0.8803, 0.8784]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729, 0.8614, 0.8566, 0.8393, 0.8772, 0.8803, 0.8784, 0.8475]	
Results: 	[0.8514, 0.8486, 0.8666, 0.8527, 0.8647, 0.8695, 0.8654, 0.8637, 0.8713, 0.8904, 0.8445, 0.8966, 0.8516, 0.8511, 0.8652, 0.8611, 0.8658, 0.8591, 0.85, 0.8955, 0.8613, 0.8729, 0.8614, 0.8566, 0.8393, 0.8772, 0.8803, 0.8784, 0.8475, 0.901]
30 Support Sets: (Mean:0.8653566666666667, SD:0.01585861417899308) | 	





















