Results: 	[0.879]	
Results: 	[0.879, 0.8417]	
Results: 	[0.879, 0.8417, 0.8399]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804, 0.8079]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804, 0.8079, 0.8463]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804, 0.8079, 0.8463, 0.8505]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804, 0.8079, 0.8463, 0.8505, 0.8568]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804, 0.8079, 0.8463, 0.8505, 0.8568, 0.8282]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804, 0.8079, 0.8463, 0.8505, 0.8568, 0.8282, 0.8571]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804, 0.8079, 0.8463, 0.8505, 0.8568, 0.8282, 0.8571, 0.836]	
Results: 	[0.879, 0.8417, 0.8399, 0.8318, 0.8446, 0.8276, 0.8413, 0.7927, 0.8529, 0.8216, 0.8461, 0.8674, 0.8414, 0.868, 0.8521, 0.82, 0.8421, 0.8356, 0.8224, 0.8267, 0.8565, 0.804, 0.8079, 0.8463, 0.8505, 0.8568, 0.8282, 0.8571, 0.836, 0.8487]
30 Support Sets: (Mean:0.8395633333333333, SD:0.01919880533879079) | 	























