Results: 	[0.545]	
Results: 	[0.545, 0.5604]	
Results: 	[0.545, 0.5604, 0.643]	
Results: 	[0.545, 0.5604, 0.643, 0.5671]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203, 0.5935]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203, 0.5935, 0.5861]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203, 0.5935, 0.5861, 0.7297]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203, 0.5935, 0.5861, 0.7297, 0.5966]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203, 0.5935, 0.5861, 0.7297, 0.5966, 0.6198]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203, 0.5935, 0.5861, 0.7297, 0.5966, 0.6198, 0.6091]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203, 0.5935, 0.5861, 0.7297, 0.5966, 0.6198, 0.6091, 0.6101]	
Results: 	[0.545, 0.5604, 0.643, 0.5671, 0.6166, 0.6498, 0.6045, 0.6093, 0.6426, 0.7397, 0.5508, 0.7256, 0.5653, 0.5856, 0.6096, 0.5966, 0.6203, 0.5935, 0.5861, 0.7297, 0.5966, 0.6198, 0.6091, 0.6101, 0.5158]	
