Results: 	[0.6131]	
Results: 	[0.6131, 0.9265]	
Results: 	[0.6131, 0.9265, 0.6931]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324, 0.7402]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324, 0.7402, 0.9225]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324, 0.7402, 0.9225, 0.8285]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324, 0.7402, 0.9225, 0.8285, 0.6136]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324, 0.7402, 0.9225, 0.8285, 0.6136, 0.911]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324, 0.7402, 0.9225, 0.8285, 0.6136, 0.911, 0.8917]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324, 0.7402, 0.9225, 0.8285, 0.6136, 0.911, 0.8917, 0.8563]	
Results: 	[0.6131, 0.9265, 0.6931, 0.8464, 0.9636, 0.8539, 0.9346, 0.6554, 0.9153, 0.94, 0.8633, 0.8167, 0.7091, 0.7704, 0.7323, 0.8045, 0.812, 0.6727, 0.6301, 0.8889, 0.8584, 0.8324, 0.7402, 0.9225, 0.8285, 0.6136, 0.911, 0.8917, 0.8563, 0.8235]
30 Support Sets: (Mean:0.8106666666666666, SD:0.10453346711520879) | 	





















