Results: 	[0.9589]	
Results: 	[0.9589, 0.9559]	
Results: 	[0.9589, 0.9559, 0.9544]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536, 0.9544]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536, 0.9544, 0.9636]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536, 0.9544, 0.9636, 0.9581]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536, 0.9544, 0.9636, 0.9581, 0.9625]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536, 0.9544, 0.9636, 0.9581, 0.9625, 0.9628]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536, 0.9544, 0.9636, 0.9581, 0.9625, 0.9628, 0.9652]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536, 0.9544, 0.9636, 0.9581, 0.9625, 0.9628, 0.9652, 0.9603]	
Results: 	[0.9589, 0.9559, 0.9544, 0.9549, 0.9653, 0.9581, 0.9601, 0.9612, 0.9521, 0.9552, 0.9616, 0.9536, 0.9544, 0.9636, 0.9581, 0.9625, 0.9628, 0.9652, 0.9603, 0.9619]	
