Results: 	[0.9319]	
Results: 	[0.9319, 0.915]	
Results: 	[0.9319, 0.915, 0.9227]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231, 0.9404]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231, 0.9404, 0.8615]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231, 0.9404, 0.8615, 0.9319]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231, 0.9404, 0.8615, 0.9319, 0.9197]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231, 0.9404, 0.8615, 0.9319, 0.9197, 0.8333]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231, 0.9404, 0.8615, 0.9319, 0.9197, 0.8333, 0.9261]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231, 0.9404, 0.8615, 0.9319, 0.9197, 0.8333, 0.9261, 0.9262]	
Results: 	[0.9319, 0.915, 0.9227, 0.9283, 0.9359, 0.9188, 0.9324, 0.9234, 0.9327, 0.9183, 0.9259, 0.9321, 0.884, 0.9079, 0.9332, 0.9283, 0.9262, 0.9235, 0.9338, 0.916, 0.9273, 0.9231, 0.9404, 0.8615, 0.9319, 0.9197, 0.8333, 0.9261, 0.9262, 0.9283]
30 Support Sets: (Mean:0.9196033333333333, SD:0.022476155692480935) | 	









