Results: 	[0.9322]	
Results: 	[0.9322, 0.9139]	
Results: 	[0.9322, 0.9139, 0.9219]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295, 0.9249]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295, 0.9249, 0.9305]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295, 0.9249, 0.9305, 0.9178]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295, 0.9249, 0.9305, 0.9178, 0.926]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295, 0.9249, 0.9305, 0.9178, 0.926, 0.9328]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295, 0.9249, 0.9305, 0.9178, 0.926, 0.9328, 0.9323]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295, 0.9249, 0.9305, 0.9178, 0.926, 0.9328, 0.9323, 0.9254]	
Results: 	[0.9322, 0.9139, 0.9219, 0.9269, 0.9361, 0.9186, 0.9346, 0.9221, 0.9347, 0.9295, 0.9249, 0.9305, 0.9178, 0.926, 0.9328, 0.9323, 0.9254, 0.9226]	
