Results: 	[0.9557]	
Results: 	[0.9557, 0.9807]	
Results: 	[0.9557, 0.9807, 0.9819]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225, 0.9718]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225, 0.9718, 0.8366]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225, 0.9718, 0.8366, 0.9485]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225, 0.9718, 0.8366, 0.9485, 0.9859]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225, 0.9718, 0.8366, 0.9485, 0.9859, 0.7985]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225, 0.9718, 0.8366, 0.9485, 0.9859, 0.7985, 0.9312]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225, 0.9718, 0.8366, 0.9485, 0.9859, 0.7985, 0.9312, 0.9688]	
Results: 	[0.9557, 0.9807, 0.9819, 0.9783, 0.9583, 0.9843, 0.9485, 0.9793, 0.9493, 0.9185, 0.9809, 0.9714, 0.8649, 0.9004, 0.96, 0.9406, 0.9579, 0.9817, 0.9706, 0.9132, 0.9324, 0.9225, 0.9718, 0.8366, 0.9485, 0.9859, 0.7985, 0.9312, 0.9688, 0.9767]
30 Support Sets: (Mean:0.9449766666666667, SD:0.04523822524136536) | 	









