[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6331724008661492],[0.4484748557295961],[0.4927536231884058],[0.4114977307110439],[0.8548470710212546],[0.7416988416988417],[0.6331724008661492]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.4927536231884058],[0.4114977307110439],[0.8548470710212546],[0.7416988416988417],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5849348406343224],[0.3382278481012658],[0.5099236641221374],[0.25303030303030305],[0.9168393782383419],[0.7476833976833976],[0.5849348406343224]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.5099236641221374],[0.4114977307110439],[0.9168393782383419],[0.7476833976833976],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5332204139913793],[0.15813350615683733],[0.5495495495495496],[0.09235427706283118],[0.9740865509199275],[0.7492277992277993],[0.5332204139913793]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.5495495495495496],[0.4114977307110439],[0.9740865509199275],[0.7492277992277993],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.535784730081274],[0.15921052631578947],[0.6111111111111112],[0.09152798789712557],[0.9800414722654225],[0.7532818532818533],[0.535784730081274]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6111111111111112],[0.4114977307110439],[0.9800414722654225],[0.7532818532818533],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5339294538225672],[0.15323645970937916],[0.6010362694300518],[0.08781226343679031],[0.9800466442083441],[0.7525096525096525],[0.5339294538225672]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6111111111111112],[0.4114977307110439],[0.9800466442083441],[0.7532818532818533],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5377736420538811],[0.16796875],[0.602803738317757],[0.09757942511346444],[0.9779678589942976],[0.7532818532818533],[0.537773642053881]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6111111111111112],[0.4114977307110439],[0.9800466442083441],[0.7532818532818533],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5289201742184133],[0.1332436069986541],[0.6],[0.07494322482967448],[0.9828971236071521],[0.7513513513513513],[0.5289201742184133]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6111111111111112],[0.4114977307110439],[0.9828971236071521],[0.7532818532818533],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.529669100329722],[0.13972055888223553],[0.5737704918032787],[0.07954545454545454],[0.9797927461139896],[0.7503861003861004],[0.529669100329722]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6111111111111112],[0.4114977307110439],[0.9828971236071521],[0.7532818532818533],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5267499249060247],[0.12567567567567564],[0.5886075949367089],[0.07034795763993948],[0.9831518921721099],[0.7501930501930502],[0.5267499249060247]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6111111111111112],[0.4114977307110439],[0.9831518921721099],[0.7532818532818533],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5415663779764075],[0.17898832684824903],[0.6272727272727273],[0.1043872919818457],[0.9787454639709694],[0.7555984555984556],[0.5415663779764075]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6272727272727273],[0.4114977307110439],[0.9831518921721099],[0.7555984555984556],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5267605125683394],[0.12466124661246611],[0.5974025974025974],[0.06959152798789713],[0.9839294971487818],[0.7505791505791506],[0.5267605125683394]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6272727272727273],[0.4114977307110439],[0.9839294971487818],[0.7555984555984556],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5288310566807976],[0.13225371120107965],[0.6049382716049383],[0.07424242424242425],[0.983419689119171],[0.7517374517374518],[0.5288310566807977]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6272727272727273],[0.4114977307110439],[0.9839294971487818],[0.7555984555984556],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5301648436689285],[0.13903743315508021],[0.5942857142857143],[0.07872823618470856],[0.9816014511531485],[0.7513513513513513],[0.5301648436689285]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6272727272727273],[0.4114977307110439],[0.9839294971487818],[0.7555984555984556],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5363402284816857],[0.15973597359735975],[0.6237113402061856],[0.09159727479182438],[0.981083182171547],[0.7542471042471043],[0.5363402284816857]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6272727272727273],[0.4114977307110439],[0.9839294971487818],[0.7555984555984556],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5315371168148547],[0.14190093708166],[0.6162790697674418],[0.08018154311649017],[0.9828926905132193],[0.7525096525096525],[0.5315371168148547]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6272727272727273],[0.4114977307110439],[0.9839294971487818],[0.7555984555984556],[0.6331724008661492]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5306828493203113],[0.13639432815665092],[0.6352201257861635],[0.07639939485627836],[0.9849663037843442],[0.7530888030888031],[0.5306828493203113]]	 ; [[0.6331724008661492],[0.4484748557295961],[0.6352201257861635],[0.4114977307110439],[0.9849663037843442],[0.7555984555984556],[0.6331724008661492]]
