Results: 	[0.5643]	
Results: 	[0.5643, 0.6707]	
Results: 	[0.5643, 0.6707, 0.7513]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889, 0.7212]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889, 0.7212, 0.6185]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889, 0.7212, 0.6185, 0.732]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889, 0.7212, 0.6185, 0.732, 0.7146]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889, 0.7212, 0.6185, 0.732, 0.7146, 0.724]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889, 0.7212, 0.6185, 0.732, 0.7146, 0.724, 0.6792]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889, 0.7212, 0.6185, 0.732, 0.7146, 0.724, 0.6792, 0.7284]	
Results: 	[0.5643, 0.6707, 0.7513, 0.7235, 0.7173, 0.7045, 0.7465, 0.727, 0.7467, 0.6503, 0.6653, 0.6453, 0.7034, 0.7177, 0.7399, 0.6857, 0.7431, 0.7142, 0.7331, 0.691, 0.7279, 0.6889, 0.7212, 0.6185, 0.732, 0.7146, 0.724, 0.6792, 0.7284, 0.7162]
30 Support Sets: (Mean:0.7030566666666667, SD:0.041894734121682126) | 	



































































