Results: 	[0.8849]	
Results: 	[0.8849, 0.823]	
Results: 	[0.8849, 0.823, 0.6763]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591, 0.4393]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591, 0.4393, 0.6275]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591, 0.4393, 0.6275, 0.556]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591, 0.4393, 0.6275, 0.556, 0.6382]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591, 0.4393, 0.6275, 0.556, 0.6382, 0.71]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591, 0.4393, 0.6275, 0.556, 0.6382, 0.71, 0.5985]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591, 0.4393, 0.6275, 0.556, 0.6382, 0.71, 0.5985, 0.6787]	
Results: 	[0.8849, 0.823, 0.6763, 0.6373, 0.7987, 0.4865, 0.6788, 0.7685, 0.9775, 0.723, 0.6029, 0.8101, 1.0, 0.7911, 0.845, 0.6007, 0.7245, 0.8196, 0.7274, 0.7235, 0.8077, 0.6591, 0.4393, 0.6275, 0.556, 0.6382, 0.71, 0.5985, 0.6787, 0.8787]
30 Support Sets: (Mean:0.7231, SD:0.13085696587205964) | 	

