Results: 	[0.6554]	
Results: 	[0.6554, 0.6695]	
Results: 	[0.6554, 0.6695, 0.6698]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667, 0.666]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667, 0.666, 0.6669]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667, 0.666, 0.6669, 0.6687]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667, 0.666, 0.6669, 0.6687, 0.6669]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667, 0.666, 0.6669, 0.6687, 0.6669, 0.6566]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667, 0.666, 0.6669, 0.6687, 0.6669, 0.6566, 0.6681]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667, 0.666, 0.6669, 0.6687, 0.6669, 0.6566, 0.6681, 0.6643]	
Results: 	[0.6554, 0.6695, 0.6698, 0.6634, 0.6644, 0.6612, 0.6667, 0.6712, 0.6709, 0.6685, 0.6668, 0.6687, 0.6667, 0.6672, 0.6676, 0.6688, 0.663, 0.6684, 0.6667, 0.666, 0.6669, 0.6687, 0.6669, 0.6566, 0.6681, 0.6643, 0.6641]	
