Results: 	[0.7031]	
Results: 	[0.7031, 0.7019]	
Results: 	[0.7031, 0.7019, 0.7061]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084, 0.7034]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084, 0.7034, 0.7016]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084, 0.7034, 0.7016, 0.7096]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084, 0.7034, 0.7016, 0.7096, 0.7002]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084, 0.7034, 0.7016, 0.7096, 0.7002, 0.7049]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084, 0.7034, 0.7016, 0.7096, 0.7002, 0.7049, 0.7076]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084, 0.7034, 0.7016, 0.7096, 0.7002, 0.7049, 0.7076, 0.7026]	
Results: 	[0.7031, 0.7019, 0.7061, 0.7041, 0.7046, 0.7039, 0.7084, 0.7007, 0.7059, 0.6968, 0.705, 0.7066, 0.7076, 0.7035, 0.7031, 0.7016, 0.7082, 0.7045, 0.7095, 0.7041, 0.707, 0.7084, 0.7034, 0.7016, 0.7096, 0.7002, 0.7049, 0.7076, 0.7026, 0.7055]
30 Support Sets: (Mean:0.7046666666666667, SD:0.00297302044640004) | 	















































