[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6838721599214515],[0.4166865315852205],[0.273125],[0.878391959798995],[0.4893523600439078],[0.559099099099099],[0.6838721599214515]]	 ; [[0.6838721599214515],[0.4166865315852205],[0.273125],[0.878391959798995],[0.4893523600439078],[0.559099099099099],[0.6838721599214515]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6072813085713579],[0.35449402891263354],[0.4723618090452261],[0.2837022132796781],[0.9308604038630377],[0.814954954954955],[0.6072813085713579]]	 ; [[0.6838721599214515],[0.4166865315852205],[0.4723618090452261],[0.878391959798995],[0.9308604038630377],[0.814954954954955],[0.6838721599214515]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5388484107708832],[0.1942857142857143],[0.33663366336633666],[0.13654618473895583],[0.9411506368028107],[0.7967567567567567],[0.5388484107708833]]	 ; [[0.6838721599214515],[0.4166865315852205],[0.4723618090452261],[0.878391959798995],[0.9411506368028107],[0.814954954954955],[0.6838721599214515]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5494970659978518],[0.19918367346938773],[0.5327510917030568],[0.12248995983935743],[0.9765041721563461],[0.8232432432432433],[0.5494970659978518]]	 ; [[0.6838721599214515],[0.4166865315852205],[0.5327510917030568],[0.878391959798995],[0.9765041721563461],[0.8232432432432433],[0.6838721599214515]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5032053792563256],[0.017716535433070866],[0.42857142857142855],[0.009045226130653266],[0.9973655323819978],[0.8201801801801801],[0.5032053792563255]]	 ; [[0.6838721599214515],[0.4166865315852205],[0.5327510917030568],[0.878391959798995],[0.9973655323819978],[0.8232432432432433],[0.6838721599214515]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5428382306703661],[0.17725752508361203],[0.527363184079602],[0.10653266331658291],[0.9791437980241493],[0.8227027027027027],[0.5428382306703661]]	 ; [[0.6838721599214515],[0.4166865315852205],[0.5327510917030568],[0.878391959798995],[0.9973655323819978],[0.8232432432432433],[0.6838721599214515]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.5483658688613209],[0.19386909693454846],[0.5518867924528302],[0.11758793969849246],[0.9791437980241493],[0.8246846846846847],[0.5483658688613209]]	 ; [[0.6838721599214515],[0.4166865315852205],[0.5518867924528302],[0.878391959798995],[0.9973655323819978],[0.8246846846846847],[0.6838721599214515]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6022871204399355],[0.34236804564907275],[0.5882352941176471],[0.2414486921529175],[0.9631255487269534],[0.8338738738738739],[0.6022871204399355]]	 ; [[0.6838721599214515],[0.4166865315852205],[0.5882352941176471],[0.878391959798995],[0.9973655323819978],[0.8338738738738739],[0.6838721599214515]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.6944993412384717],[0.5400130123617437],[0.767097966728281],[0.4166666666666667],[0.9723320158102767],[0.8726126126126126],[0.6944993412384717]]	 ; [[0.6944993412384717],[0.5400130123617437],[0.767097966728281],[0.878391959798995],[0.9973655323819978],[0.8726126126126126],[0.6944993412384717]]
[ROC-AUC, F1-score, Precision, Sensitivity, Specificity, Accuracy, Balanced Accuracy]:	[[0.8230835847734832],[0.6251908396946565],[0.504],[0.8231155778894472],[0.8230515916575192],[0.8230630630630631],[0.8230835847734832]]	 ; [[0.8230835847734832],[0.6251908396946565],[0.767097966728281],[0.878391959798995],[0.9973655323819978],[0.8726126126126126],[0.8230835847734832]]
