Results: 	[0.8258]	
Results: 	[0.8258, 0.8099]	
Results: 	[0.8258, 0.8099, 0.8338]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048, 0.7804]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048, 0.7804, 0.8523]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048, 0.7804, 0.8523, 0.7911]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048, 0.7804, 0.8523, 0.7911, 0.8006]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048, 0.7804, 0.8523, 0.7911, 0.8006, 0.8069]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048, 0.7804, 0.8523, 0.7911, 0.8006, 0.8069, 0.8177]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048, 0.7804, 0.8523, 0.7911, 0.8006, 0.8069, 0.8177, 0.8006]	
Results: 	[0.8258, 0.8099, 0.8338, 0.8181, 0.8266, 0.8145, 0.7959, 0.8152, 0.7902, 0.8138, 0.7917, 0.7871, 0.8365, 0.8179, 0.8084, 0.8269, 0.7892, 0.8378, 0.84, 0.7782, 0.8375, 0.8048, 0.7804, 0.8523, 0.7911, 0.8006, 0.8069, 0.8177, 0.8006, 0.8396]
30 Support Sets: (Mean:0.8129666666666666, SD:0.01991567279778681) | 	


