Results: 	[0.951]	
Results: 	[0.951, 0.9414]	
Results: 	[0.951, 0.9414, 0.9464]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495, 0.9642]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495, 0.9642, 0.9423]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495, 0.9642, 0.9423, 0.9572]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495, 0.9642, 0.9423, 0.9572, 0.9576]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495, 0.9642, 0.9423, 0.9572, 0.9576, 0.9431]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495, 0.9642, 0.9423, 0.9572, 0.9576, 0.9431, 0.9583]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495, 0.9642, 0.9423, 0.9572, 0.9576, 0.9431, 0.9583, 0.9451]	
Results: 	[0.951, 0.9414, 0.9464, 0.9471, 0.9456, 0.9631, 0.948, 0.9477, 0.9482, 0.9462, 0.9552, 0.9433, 0.9622, 0.9467, 0.9539, 0.9403, 0.9438, 0.9444, 0.9418, 0.9572, 0.9495, 0.9495, 0.9642, 0.9423, 0.9572, 0.9576, 0.9431, 0.9583, 0.9451, 0.9423]
30 Support Sets: (Mean:0.94942, SD:0.006960103051159413) | 	





